Codering_3,HuishoudensTotaal_28,IndelingswijzigingWijkenEnBuurten_4,Year
BU07560400,570,1,2021
BU07560409,120,1,2021
BU07560500,185,1,2021
BU07560509,70,1,2021
BU07560600,1000,1,2021
BU07560601,130,1,2021
BU07560609,95,1,2021
BU07560700,1225,1,2021
BU07560707,15,1,2021
BU07560708,5,1,2021
BU07560709,375,1,2021
BU07560800,315,1,2021
BU07560809,65,1,2021
BU07560900,185,1,2021
BU07560909,25,1,2021
BU07570000,4030,1,2021
BU07570001,3955,1,2021
BU07570002,1765,1,2021
BU07570003,920,1,2021
BU07570004,65,1,2021
BU07570005,80,1,2021
BU07570006,295,1,2021
BU07570007,20,1,2021
BU07570008,90,1,2021
BU07570009,65,1,2021
BU07570100,305,1,2021
BU07570109,120,1,2021
BU07570200,1650,1,2021
BU07570206,65,1,2021
BU07570207,40,1,2021
BU07570208,100,1,2021
BU07570209,60,1,2021
BU07573000,730,2,2021
BU07573100,155,3,2021
BU07580001,1350,1,2021
BU07580002,2045,1,2021
BU07580003,985,1,2021
BU07580004,2440,1,2021
BU07580005,1480,1,2021
BU07580006,1825,1,2021
BU07580100,1875,1,2021
BU07580101,2380,1,2021
BU07580102,2345,1,2021
BU07580103,1860,1,2021
BU07580104,1955,1,2021
BU07580105,90,1,2021
BU07580106,1295,1,2021
BU07580107,505,1,2021
BU07580200,5600,1,2021
BU07580201,1635,1,2021
BU07580202,2395,1,2021
BU07580203,2445,1,2021
BU07580204,25,1,2021
BU07580205,20,1,2021
BU07580300,1720,1,2021
BU07580301,3080,1,2021
BU07580302,1540,1,2021
BU07580303,2420,1,2021
BU07580309,255,1,2021
BU07580400,2705,1,2021
BU07580401,1145,1,2021
BU07580500,1065,1,2021
BU07580501,3935,1,2021
BU07580502,4500,1,2021
BU07580503,3950,1,2021
BU07580504,1400,1,2021
BU07580505,170,1,2021
BU07580506,20,1,2021
BU07580507,325,1,2021
BU07580508,330,1,2021
BU07580509,260,1,2021
BU07580600,2115,1,2021
BU07580601,1795,1,2021
BU07580602,1715,1,2021
BU07580603,1275,1,2021
BU07580604,1980,1,2021
BU07580605,1310,1,2021
BU07580606,930,1,2021
BU07580607,25,1,2021
BU07580609,75,1,2021
BU07580700,2220,1,2021
BU07580701,890,1,2021
BU07580709,185,1,2021
BU07580800,1990,1,2021
BU07580809,110,1,2021
BU07580900,4665,1,2021
BU07580909,310,1,2021
BU07581000,3250,1,2021
BU07581008,40,1,2021
BU07581009,60,1,2021
BU08990124,255,1,2021
BU08990126,630,1,2021
BU08990134,895,1,2021
BU08990135,490,1,2021
BU08990136,185,1,2021
BU08990144,665,1,2021
BU08990201,15,1,2021
BU08990202,225,1,2021
BU08990203,645,1,2021
BU08990204,305,1,2021
BU08990205,350,1,2021
BU08990207,735,1,2021
BU08990208,440,1,2021
BU08990209,370,1,2021
BU08990225,170,1,2021
BU08990242,40,1,2021
BU08990243,80,1,2021
BU08990314,20,1,2021
BU08990315,105,1,2021
BU08990316,360,1,2021
BU08990317,710,1,2021
BU08990318,515,1,2021
BU08990332,0,1,2021
BU08990333,60,1,2021
BU08990337,0,1,2021
BU08990339,0,1,2021
BU08990340,0,1,2021
BU08990345,120,1,2021
BU08990428,100,1,2021
BU08990429,625,1,2021
BU08990430,545,1,2021
BU08990431,0,1,2021
BU08990438,0,1,2021
BU08990441,0,1,2021
BU08990506,535,1,2021
BU08990510,255,1,2021
BU08990511,165,1,2021
