BU_2021,BU_NAAM,WK_2021,WK_NAAM,GM_2021,GM_NAAM,ProvinciecodePV,Provincienaam
104,BU00141302,Klein Harkstede,WK001413,Meerdorpen,GM0014,Groningen,PV20,Groningen
105,BU00141400,Meeroevers,WK001414,Meerstad e.o.,GM0014,Groningen,PV20,Groningen
106,BU00141401,Harkstede GN,WK001414,Meerstad e.o.,GM0014,Groningen,PV20,Groningen
107,BU00141402,Lageland GN,WK001414,Meerstad e.o.,GM0014,Groningen,PV20,Groningen
108,BU00141403,Groenewei,WK001414,Meerstad e.o.,GM0014,Groningen,PV20,Groningen
109,BU00141404,Tersluis,WK001414,Meerstad e.o.,GM0014,Groningen,PV20,Groningen
110,BU00141405,De Zeilen,WK001414,Meerstad e.o.,GM0014,Groningen,PV20,Groningen
111,BU00141406,De Wierden,WK001414,Meerstad e.o.,GM0014,Groningen,PV20,Groningen
112,BU00141500,Ten Boer Dorp,WK001415,Ten Boer e.o.,GM0014,Groningen,PV20,Groningen
113,BU00141501,Buitengebied Ten Boer-Zuid,WK001415,Ten Boer e.o.,GM0014,Groningen,PV20,Groningen
114,BU00141502,Garmerwolde,WK001415,Ten Boer e.o.,GM0014,Groningen,PV20,Groningen
115,BU00141503,Thesinge,WK001415,Ten Boer e.o.,GM0014,Groningen,PV20,Groningen
116,BU00141504,Sint Annen,WK001415,Ten Boer e.o.,GM0014,Groningen,PV20,Groningen
117,BU00141505,Buitengebied Ten Boer-Noord,WK001415,Ten Boer e.o.,GM0014,Groningen,PV20,Groningen
118,BU00141506,Bedrijventerrein Ten Boer,WK001415,Ten Boer e.o.,GM0014,Groningen,PV20,Groningen
119,BU00141600,Ten Post Dorp,WK001416,Ten Post e.o.,GM0014,Groningen,PV20,Groningen
120,BU00141601,Lellens,WK001416,Ten Post e.o.,GM0014,Groningen,PV20,Groningen
121,BU00141602,Woltersum,WK001416,Ten Post e.o.,GM0014,Groningen,PV20,Groningen
122,BU00141603,Winneweer,WK001416,Ten Post e.o.,GM0014,Groningen,PV20,Groningen
123,BU00141604,Wittewierum,WK001416,Ten Post e.o.,GM0014,Groningen,PV20,Groningen
124,BU00141605,Buitengebied Ten Post,WK001416,Ten Post e.o.,GM0014,Groningen,PV20,Groningen
125,BU00141700,Haren-Centrum,WK001417,Haren-West e.o.,GM0014,Groningen,PV20,Groningen
126,BU00141701,Haren-Zuidwest,WK001417,Haren-West e.o.,GM0014,Groningen,PV20,Groningen
127,BU00141702,Haren-Zuidoost,WK001417,Haren-West e.o.,GM0014,Groningen,PV20,Groningen
128,BU00141703,Haren-Noord,WK001417,Haren-West e.o.,GM0014,Groningen,PV20,Groningen
129,BU00141704,Essen,WK001417,Haren-West e.o.,GM0014,Groningen,PV20,Groningen
130,BU00141705,Buitengebied Haren-Noordwest,WK001417,Haren-West e.o.,GM0014,Groningen,PV20,Groningen
131,BU00141706,Nesciopark,WK001417,Haren-West e.o.,GM0014,Groningen,PV20,Groningen
132,BU00141707,Paterswoldsemeer,WK001417,Haren-West e.o.,GM0014,Groningen,PV20,Groningen
133,BU00141708,Buitengebied Haren-Zuidoost,WK001417,Haren-West e.o.,GM0014,Groningen,PV20,Groningen
134,BU00141709,Wolddeelen,WK001417,Haren-West e.o.,GM0014,Groningen,PV20,Groningen
135,BU00141710,Buitengebied Haren-Zuidwest,WK001417,Haren-West e.o.,GM0014,Groningen,PV20,Groningen
136,BU00141800,Oosterhaar,WK001418,Haren-Oost e.o.,GM0014,Groningen,PV20,Groningen
137,BU00141801,Tuindorp,WK001418,Haren-Oost e.o.,GM0014,Groningen,PV20,Groningen
138,BU00141802,Felland,WK001418,Haren-Oost e.o.,GM0014,Groningen,PV20,Groningen
139,BU00141803,Buitengebied Haren-Noordoost,WK001418,Haren-Oost e.o.,GM0014,Groningen,PV20,Groningen
140,BU00141900,Glimmen Dorp,WK001419,Glimmen-Onnen-Noordlaren,GM0014,Groningen,PV20,Groningen
141,BU00141901,Onnen Dorp,WK001419,Glimmen-Onnen-Noordlaren,GM0014,Groningen,PV20,Groningen
142,BU00141902,Noordlaren Dorp,WK001419,Glimmen-Onnen-Noordlaren,GM0014,Groningen,PV20,Groningen
143,BU00141903,Buitengebied Glimmen,WK001419,Glimmen-Onnen-Noordlaren,GM0014,Groningen,PV20,Groningen
144,BU00141904,Buitengebied Onnen,WK001419,Glimmen-Onnen-Noordlaren,GM0014,Groningen,PV20,Groningen
145,BU00141905,Buitengebied Noordlaren,WK001419,Glimmen-Onnen-Noordlaren,GM0014,Groningen,PV20,Groningen
146,BU00141906,Zuidlaardermeer,WK001419,Glimmen-Onnen-Noordlaren,GM0014,Groningen,PV20,Groningen
147,BU00141907,Noordlaarderbos,WK001419,Glimmen-Onnen-Noordlaren,GM0014,Groningen,PV20,Groningen
148,BU00141908,Appelbergen Glimmen,WK001419,Glimmen-Onnen-Noordlaren,GM0014,Groningen,PV20,Groningen
149,BU00141909,Appelbergen Onnen,WK001419,Glimmen-Onnen-Noordlaren,GM0014,Groningen,PV20,Groningen
150,BU00340101,Centrum Almere Haven,WK003401,Wijk 01 Almere Haven,GM0034,Almere,PV24,Flevoland
151,BU00340102,De Werven,WK003401,Wijk 01 Almere Haven,GM0034,Almere,PV24,Flevoland
152,BU00340103,De Hoven,WK003401,Wijk 01 Almere Haven,GM0034,Almere,PV24,Flevoland
153,BU00340104,De Meenten,WK003401,Wijk 01 Almere Haven,GM0034,Almere,PV24,Flevoland
154,BU00340105,De Grienden,WK003401,Wijk 01 Almere Haven,GM0034,Almere,PV24,Flevoland
155,BU00340106,De Marken,WK003401,Wijk 01 Almere Haven,GM0034,Almere,PV24,Flevoland
156,BU00340107,De Gouwen,WK003401,Wijk 01 Almere Haven,GM0034,Almere,PV24,Flevoland
157,BU00340108,De Wierden,WK003401,Wijk 01 Almere Haven,GM0034,Almere,PV24,Flevoland
158,BU00340109,De Velden,WK003401,Wijk 01 Almere Haven,GM0034,Almere,PV24,Flevoland
159,BU00340110,Overgooi,WK003401,Wijk 01 Almere Haven,GM0034,Almere,PV24,Flevoland
160,BU00340111,De Laren,WK003401,Wijk 01 Almere Haven,GM0034,Almere,PV24,Flevoland
161,BU00340171,De Steiger,WK003401,Wijk 01 Almere Haven,GM0034,Almere,PV24,Flevoland
162,BU00340173,Stichtsekant,WK003401,Wijk 01 Almere Haven,GM0034,Almere,PV24,Flevoland
163,BU00340199,overig Almere Haven,WK003401,Wijk 01 Almere Haven,GM0034,Almere,PV24,Flevoland
164,BU00340201,Centrum Almere Stad,WK003402,Wijk 02 Almere Stad,GM0034,Almere,PV24,Flevoland
165,BU00340202,Filmwijk,WK003402,Wijk 02 Almere Stad,GM0034,Almere,PV24,Flevoland
166,BU00340203,Danswijk,WK003402,Wijk 02 Almere Stad,GM0034,Almere,PV24,Flevoland
167,BU00340204,Parkwijk,WK003402,Wijk 02 Almere Stad,GM0034,Almere,PV24,Flevoland
168,BU00340205,Verzetswijk,WK003402,Wijk 02 Almere Stad,GM0034,Almere,PV24,Flevoland
169,BU00340206,Waterwijk,WK003402,Wijk 02 Almere Stad,GM0034,Almere,PV24,Flevoland
170,BU00340207,Tussen de Vaarten noord,WK003402,Wijk 02 Almere Stad,GM0034,Almere,PV24,Flevoland
171,BU00340208,Tussen de Vaarten zuid,WK003402,Wijk 02 Almere Stad,GM0034,Almere,PV24,Flevoland
172,BU00340209,Staatsliedenwijk,WK003402,Wijk 02 Almere Stad,GM0034,Almere,PV24,Flevoland
173,BU00340210,Kruidenwijk,WK003402,Wijk 02 Almere Stad,GM0034,Almere,PV24,Flevoland
174,BU00340211,Stedenwijk,WK003402,Wijk 02 Almere Stad,GM0034,Almere,PV24,Flevoland
175,BU00340212,Muziekwijk noord,WK003402,Wijk 02 Almere Stad,GM0034,Almere,PV24,Flevoland
176,BU00340213,Muziekwijk zuid,WK003402,Wijk 02 Almere Stad,GM0034,Almere,PV24,Flevoland
177,BU00340214,Literatuurwijk,WK003402,Wijk 02 Almere Stad,GM0034,Almere,PV24,Flevoland
178,BU00340215,Noorderplassen,WK003402,Wijk 02 Almere Stad,GM0034,Almere,PV24,Flevoland
179,BU00340271,Randstad,WK003402,Wijk 02 Almere Stad,GM0034,Almere,PV24,Flevoland
180,BU00340272,Markerkant,WK003402,Wijk 02 Almere Stad,GM0034,Almere,PV24,Flevoland
181,BU00340273,Hollandsekant,WK003402,Wijk 02 Almere Stad,GM0034,Almere,PV24,Flevoland
182,BU00340274,Gooisekant,WK003402,Wijk 02 Almere Stad,GM0034,Almere,PV24,Flevoland
183,BU00340275,Veluwsekant,WK003402,Wijk 02 Almere Stad,GM0034,Almere,PV24,Flevoland
184,BU00340276,Sallandsekant,WK003402,Wijk 02 Almere Stad,GM0034,Almere,PV24,Flevoland
185,BU00340299,overig Almere Stad,WK003402,Wijk 02 Almere Stad,GM0034,Almere,PV24,Flevoland
186,BU00340301,Centrum Almere Buiten,WK003403,Wijk 03 Almere Buiten,GM0034,Almere,PV24,Flevoland
187,BU00340302,Oostvaardersbuurt,WK003403,Wijk 03 Almere Buiten,GM0034,Almere,PV24,Flevoland
188,BU00340303,Seizoenenbuurt,WK003403,Wijk 03 Almere Buiten,GM0034,Almere,PV24,Flevoland
189,BU00340304,Molenbuurt,WK003403,Wijk 03 Almere Buiten,GM0034,Almere,PV24,Flevoland
190,BU00340305,Bouwmeesterbuurt,WK003403,Wijk 03 Almere Buiten,GM0034,Almere,PV24,Flevoland
191,BU00340306,Landgoederenbuurt,WK003403,Wijk 03 Almere Buiten,GM0034,Almere,PV24,Flevoland
192,BU00340307,Faunabuurt,WK003403,Wijk 03 Almere Buiten,GM0034,Almere,PV24,Flevoland
193,BU00340308,Bloemenbuurt,WK003403,Wijk 03 Almere Buiten,GM0034,Almere,PV24,Flevoland
194,BU00340309,Regenboogbuurt,WK003403,Wijk 03 Almere Buiten,GM0034,Almere,PV24,Flevoland
195,BU00340310,Indischebuurt,WK003403,Wijk 03 Almere Buiten,GM0034,Almere,PV24,Flevoland
196,BU00340311,Eilandenbuurt,WK003403,Wijk 03 Almere Buiten,GM0034,Almere,PV24,Flevoland
197,BU00340312,Stripheldenbuurt,WK003403,Wijk 03 Almere Buiten,GM0034,Almere,PV24,Flevoland
198,BU00340313,Sieradenbuurt,WK003403,Wijk 03 Almere Buiten,GM0034,Almere,PV24,Flevoland
199,BU00340371,Poldervlak,WK003403,Wijk 03 Almere Buiten,GM0034,Almere,PV24,Flevoland
200,BU00340372,De Vaart,WK003403,Wijk 03 Almere Buiten,GM0034,Almere,PV24,Flevoland
201,BU00340373,Buitenvaart,WK003403,Wijk 03 Almere Buiten,GM0034,Almere,PV24,Flevoland
202,BU00340399,overig Almere Buiten,WK003403,Wijk 03 Almere Buiten,GM0034,Almere,PV24,Flevoland
203,BU00340401,Europakwartier west,WK003404,Wijk 04 Almere Poort,GM0034,Almere,PV24,Flevoland
204,BU00340402,Columbuskwartier,WK003404,Wijk 04 Almere Poort,GM0034,Almere,PV24,Flevoland
205,BU00340403,Homeruskwartier,WK003404,Wijk 04 Almere Poort,GM0034,Almere,PV24,Flevoland
206,BU00340404,Olympiakwartier west,WK003404,Wijk 04 Almere Poort,GM0034,Almere,PV24,Flevoland
207,BU00340405,Duin,WK003404,Wijk 04 Almere Poort,GM0034,Almere,PV24,Flevoland
208,BU00340406,Europakwartier oost,WK003404,Wijk 04 Almere Poort,GM0034,Almere,PV24,Flevoland
209,BU00340407,Olympiakwartier oost,WK003404,Wijk 04 Almere Poort,GM0034,Almere,PV24,Flevoland
210,BU00340471,Hogekant,WK003404,Wijk 04 Almere Poort,GM0034,Almere,PV24,Flevoland
211,BU00340472,Middenkant,WK003404,Wijk 04 Almere Poort,GM0034,Almere,PV24,Flevoland
212,BU00340473,Lagekant,WK003404,Wijk 04 Almere Poort,GM0034,Almere,PV24,Flevoland
213,BU00340499,overig Almere Poort,WK003404,Wijk 04 Almere Poort,GM0034,Almere,PV24,Flevoland
214,BU00340502,Vogelhorst,WK003405,Wijk 05 Almere Hout,GM0034,Almere,PV24,Flevoland
215,BU00340503,Nobelhorst,WK003405,Wijk 05 Almere Hout,GM0034,Almere,PV24,Flevoland
216,BU00340571,Twentsekant,WK003405,Wijk 05 Almere Hout,GM0034,Almere,PV24,Flevoland
217,BU00340599,overig Almere Hout,WK003405,Wijk 05 Almere Hout,GM0034,Almere,PV24,Flevoland
218,BU00340699,overig Almere Pampus,WK003406,Wijk 06 Almere Pampus,GM0034,Almere,PV24,Flevoland
219,BU00349997,Groot binnenwater,WK003499,Groot water,GM0034,Almere,PV24,Flevoland
220,BU00370100,Stadskanaal Centrum,WK003701,Stadskanaal,GM0037,Stadskanaal,PV20,Groningen
221,BU00370101,Maarsstee,WK003701,Stadskanaal,GM0037,Stadskanaal,PV20,Groningen
222,BU00370102,Maarswold,WK003701,Stadskanaal,GM0037,Stadskanaal,PV20,Groningen
223,BU00370103,Maarsveld,WK003701,Stadskanaal,GM0037,Stadskanaal,PV20,Groningen
224,BU00370104,De Hagen,WK003701,Stadskanaal,GM0037,Stadskanaal,PV20,Groningen
225,BU00370105,Vogelwijk en De Borgen,WK003701,Stadskanaal,GM0037,Stadskanaal,PV20,Groningen
226,BU00370106,Industriegebied Vleddermond,WK003701,Stadskanaal,GM0037,Stadskanaal,PV20,Groningen
227,BU00370107,Dideldom,WK003701,Stadskanaal,GM0037,Stadskanaal,PV20,Groningen
228,BU00370108,Parkwijk,WK003701,Stadskanaal,GM0037,Stadskanaal,PV20,Groningen
229,BU00370109,Stadskanaal Noord Landskant,WK003701,Stadskanaal,GM0037,Stadskanaal,PV20,Groningen
230,BU00370110,Stadskanaal Noord Centrum,WK003701,Stadskanaal,GM0037,Stadskanaal,PV20,Groningen
231,BU00370111,Stadskanaal Noord,WK003701,Stadskanaal,GM0037,Stadskanaal,PV20,Groningen
232,BU00370112,Waterland,WK003701,Stadskanaal,GM0037,Stadskanaal,PV20,Groningen
233,BU00370200,Musselkanaal Centrum,WK003702,Musselkanaal,GM0037,Stadskanaal,PV20,Groningen
234,BU00370201,Musselkanaal Zuid,WK003702,Musselkanaal,GM0037,Stadskanaal,PV20,Groningen
235,BU00370202,Musselkanaal Noord,WK003702,Musselkanaal,GM0037,Stadskanaal,PV20,Groningen
