WijkenEnBuurten,Gemeentenaam_1,SoortRegio_2,Codering_3,MeestVoorkomendePostcode_113,HuishoudensTotaal_28,GemiddeldeHuishoudensgrootte_32,Bevolkingsdichtheid_33,Woningvoorraad_34,GemiddeldeWoningwaarde_35,PercentageEengezinswoning_36,Koopwoningen_40,InBezitWoningcorporatie_42,InBezitOverigeVerhuurders_43,BouwjaarVanaf2000_46,GemiddeldElektriciteitsverbruikTotaal_47,GemiddeldAardgasverbruikTotaal_55,Gemiddeld_opleidingsniveau,Percent_inkomensontvangers,GemiddeldInkomenPerInwoner_72,Bedrijfsvestigingen_per_huishuidens,PersonenautoSPerHuishouden_102,AfstandTotSchool_108,MateVanStedelijkheid_115
Verspreide huizen Nederwetten,"Nuenen, Gerwen en Nederwetten",Buurt,BU08200209,5674,50,2.6,31.0,51,,100.0,94.0,0.0,6.0,6.0,5050.0,2240.0,2.1818181818181817,0.7407407407407407,32.3,0.5,1.8,1.2,5.0
Oirschot-Centrum,Oirschot,Buurt,BU08230000,5688,1985,2.1,3479.0,2148,298.0,63.0,56.0,27.0,17.0,13.0,2870.0,1290.0,1.9767441860465116,0.7925407925407926,27.1,0.21914357682619648,1.1,0.5,3.0
De Notel,Oirschot,Buurt,BU08230002,5688,1570,2.5,4391.0,1562,300.0,98.0,88.0,9.0,3.0,4.0,3510.0,1450.0,1.9805825242718447,0.8080808080808081,27.9,0.15605095541401273,1.4,0.4,4.0
Straten met Moleneind,Oirschot,Buurt,BU08230005,5688,75,2.9,104.0,77,456.0,97.0,94.0,0.0,6.0,14.0,4950.0,2190.0,1.9444444444444444,0.8888888888888888,30.6,0.6,1.7,0.8,5.0
Verspreide huizen Noord en De Mortelen,Oirschot,Buurt,BU08230009,5688,140,2.8,29.0,137,472.0,96.0,84.0,0.0,16.0,16.0,5410.0,2070.0,1.9411764705882353,0.7692307692307693,29.5,0.5,1.5,2.2,5.0
Verspreide huizen Spoordonk,Oirschot,Buurt,BU08230109,5688,645,2.4,91.0,689,432.0,98.0,86.0,0.0,13.0,13.0,4430.0,2000.0,1.9453125,0.8441558441558441,31.7,0.4108527131782946,1.4,2.4,5.0
Middelbeers,Oirschot,Buurt,BU08230200,5091,1110,2.4,2833.0,1163,311.0,88.0,79.0,12.0,9.0,15.0,3430.0,1450.0,1.9285714285714286,0.8148148148148148,27.9,0.19369369369369369,1.4,0.8,5.0
Verspreide huizen Westelbeers,Oirschot,Buurt,BU08230208,5091,110,3.0,31.0,116,425.0,94.0,89.0,0.0,11.0,14.0,5070.0,1930.0,1.88,0.9090909090909091,27.0,0.5454545454545454,1.7,2.8,5.0
Verspreide huizen Middelbeers,Oirschot,Buurt,BU08230209,5091,220,2.9,88.0,219,444.0,97.0,88.0,0.0,12.0,16.0,4820.0,2020.0,1.9074074074074074,0.78125,29.7,0.6136363636363636,1.9,1.4,5.0
Omgeving George Perklaan,Oisterwijk,Buurt,BU08240601,5061,70,2.4,2108.0,76,473.0,99.0,97.0,0.0,3.0,1.0,4010.0,2170.0,2.2142857142857144,0.5714285714285714,42.3,0.5,1.4,0.8,4.0
Omg. 't Westend,Oisterwijk,Buurt,BU08240802,5061,310,2.3,5830.0,319,198.0,97.0,43.0,57.0,0.0,3.0,2810.0,1090.0,1.6415094339622642,0.8333333333333334,19.1,0.08064516129032258,1.0,0.4,4.0
"Omg. ""Prinsessen""-wijk",Oisterwijk,Buurt,BU08240803,5061,530,2.2,4937.0,546,227.0,85.0,61.0,31.0,8.0,16.0,2770.0,1230.0,1.8695652173913044,0.7792207792207793,24.7,0.1792452830188679,1.0,0.5,3.0
Omg. Petrus-Kerk,Oisterwijk,Buurt,BU08241301,5061,485,1.7,3623.0,544,250.0,43.0,49.0,17.0,33.0,31.0,2560.0,1020.0,2.098360655737705,0.8839779005524862,28.8,0.21649484536082475,1.0,0.8,2.0
Winschoten-Centrum,Oldambt,Buurt,BU18950000,9671,2450,1.7,3509.0,2406,140.0,50.0,50.0,29.0,21.0,13.0,2290.0,1430.0,1.8006644518272426,0.8841099163679809,22.3,0.2,0.8,0.4,2.0
Zeeheldenbuurt,Oldambt,Buurt,BU18950001,9675,1435,1.8,3071.0,1550,120.0,57.0,54.0,36.0,10.0,16.0,2200.0,1360.0,1.7127659574468086,0.8103130755064457,21.0,0.06620209059233449,0.9,0.4,2.0
Winschoten-Noord,Oldambt,Buurt,BU18950002,9675,1305,2.5,2592.0,1338,146.0,98.0,73.0,21.0,6.0,6.0,3070.0,1680.0,1.8155737704918034,0.7692307692307693,21.3,0.08045977011494253,1.1,0.7,4.0
Winschoten-Zuid,Oldambt,Buurt,BU18950003,9673,1475,2.0,3300.0,1593,120.0,67.0,47.0,45.0,8.0,23.0,2450.0,1190.0,1.6977777777777778,0.7431340872374798,19.5,0.04745762711864407,0.8,0.7,3.0
Winschoten-Grintweg,Oldambt,Buurt,BU18950005,9675,485,2.5,1912.0,487,223.0,99.0,96.0,0.0,4.0,33.0,3490.0,1700.0,1.97979797979798,0.8097165991902834,28.1,0.13402061855670103,1.4,0.9,3.0
Winschoten-Bomenbuurt,Oldambt,Buurt,BU18950006,9674,1140,2.0,3921.0,1150,122.0,82.0,56.0,35.0,9.0,7.0,2440.0,1320.0,1.8055555555555556,0.811965811965812,20.7,0.05701754385964912,1.0,0.4,3.0
Winschoten-Sint Vitusholt-Lanengebied,Oldambt,Buurt,BU18950007,9674,245,2.4,359.0,250,225.0,96.0,90.0,0.0,9.0,5.0,3390.0,1960.0,1.872340425531915,0.8403361344537815,27.5,0.16326530612244897,1.4,1.4,4.0
Finsterwolde-Centrum,Oldambt,Buurt,BU18950100,9684,315,2.2,746.0,329,134.0,99.0,77.0,17.0,6.0,7.0,2940.0,1930.0,1.8269230769230769,0.8633093525179856,21.0,0.19047619047619047,1.3,1.8,5.0
Finsterwolde Hardenberg,Oldambt,Buurt,BU18950101,9684,200,2.3,641.0,207,151.0,100.0,93.0,0.0,7.0,5.0,3210.0,1910.0,1.7837837837837838,0.851063829787234,23.3,0.15,1.6,0.6,5.0
Finsterwolde nieuwbouw,Oldambt,Buurt,BU18950102,9684,200,1.9,1409.0,198,101.0,100.0,27.0,72.0,1.0,11.0,2730.0,1520.0,1.5714285714285714,0.7792207792207793,18.2,0.05,1.0,1.0,5.0
