WijkenEnBuurten,Gemeentenaam_1,SoortRegio_2,Codering_3,MeestVoorkomendePostcode_113,HuishoudensTotaal_28,GemiddeldeHuishoudensgrootte_32,Bevolkingsdichtheid_33,Woningvoorraad_34,GemiddeldeWoningwaarde_35,PercentageEengezinswoning_36,Koopwoningen_40,InBezitWoningcorporatie_42,InBezitOverigeVerhuurders_43,BouwjaarVanaf2000_46,GemiddeldElektriciteitsverbruikTotaal_47,GemiddeldAardgasverbruikTotaal_55,Gemiddeld_opleidingsniveau,Percent_inkomensontvangers,GemiddeldInkomenPerInwoner_72,Bedrijfsvestigingen_per_huishuidens,PersonenautoSPerHuishouden_102,AfstandTotSchool_108,MateVanStedelijkheid_115
Kleikoelen,Brunssum,Buurt,BU08990345,6443,120,1.8,4877.0,123,96.0,76.0,17.0,82.0,1.0,0.0,2260.0,900.0,1.4705882352941178,0.8888888888888888,16.2,0.041666666666666664,0.8,1.1,4.0
Vondelstraat,Brunssum,Buurt,BU08990428,6445,95,2.2,2472.0,105,216.0,96.0,90.0,1.0,9.0,0.0,3440.0,1940.0,,0.9090909090909091,32.2,0.21052631578947367,1.5,0.9,3.0
Langenberg,Brunssum,Buurt,BU08990429,6445,640,2.2,4864.0,648,132.0,99.0,93.0,1.0,6.0,0.0,2990.0,1370.0,1.8125,0.7829181494661922,24.8,0.09375,1.3,0.5,3.0
De Struiken,Brunssum,Buurt,BU08990430,6445,545,2.3,2063.0,573,152.0,96.0,76.0,18.0,5.0,18.0,3110.0,1320.0,1.731958762886598,0.8097165991902834,24.3,0.09174311926605505,1.3,0.4,3.0
Hofpoel,Brunssum,Buurt,BU08990506,6441,535,1.7,6247.0,584,129.0,30.0,47.0,40.0,13.0,16.0,2280.0,1070.0,1.7681159420289856,0.8556149732620321,22.9,0.11214953271028037,1.0,0.5,2.0
Op de Vaard,Brunssum,Buurt,BU08990510,6444,250,1.9,3564.0,270,165.0,52.0,64.0,24.0,11.0,0.0,2890.0,1370.0,2.0303030303030303,0.8602150537634409,28.4,0.1,1.1,0.5,2.0
Koutenveld,Brunssum,Buurt,BU08990511,6441,165,1.7,3669.0,214,199.0,13.0,56.0,8.0,36.0,75.0,2690.0,790.0,1.7647058823529411,0.9836065573770492,23.9,0.09090909090909091,1.0,0.7,2.0
Kerkeveld,Brunssum,Buurt,BU08990513,6443,205,1.9,3360.0,218,143.0,79.0,61.0,29.0,10.0,6.0,2570.0,1430.0,1.7352941176470589,0.7407407407407407,23.2,0.12195121951219512,1.0,0.3,2.0
Kruisberg,Brunssum,Buurt,BU08990519,6444,545,2.0,4932.0,589,140.0,83.0,74.0,17.0,9.0,7.0,2770.0,1350.0,1.858695652173913,0.7929515418502202,25.9,0.11009174311926606,1.2,0.3,2.0
Haansberg,Brunssum,Buurt,BU08990521,6443,410,2.2,3731.0,417,133.0,71.0,65.0,24.0,10.0,0.0,3030.0,1570.0,1.8169014084507042,0.7734806629834254,22.8,0.14634146341463414,1.2,1.0,2.0
Vijverpark,Brunssum,Buurt,BU08990522,6443,75,1.3,1992.0,125,85.0,9.0,14.0,0.0,86.0,0.0,1450.0,720.0,1.875,0.625,,0.06666666666666667,0.5,0.6,2.0
De Hemelder,Brunssum,Buurt,BU08990527,6444,490,2.5,4214.0,510,215.0,100.0,88.0,3.0,9.0,0.0,3370.0,1360.0,2.02,0.8264462809917356,30.2,0.09183673469387756,1.6,0.6,2.0
Coevorden-Centrum,Coevorden,Buurt,BU01091000,7741,1340,1.6,3949.0,1392,131.0,37.0,39.0,47.0,13.0,8.0,2110.0,1150.0,1.8101265822784811,0.8755760368663594,23.9,0.17537313432835822,0.8,0.4,3.0
Lootuinen,Coevorden,Buurt,BU01091001,7741,580,2.4,2059.0,576,135.0,100.0,48.0,51.0,1.0,0.0,2570.0,1420.0,1.64,0.704225352112676,18.4,0.07758620689655173,1.1,0.7,3.0
Poppenhare,Coevorden,Buurt,BU01091002,7741,580,2.1,3507.0,658,106.0,57.0,32.0,63.0,5.0,11.0,2410.0,1140.0,1.5176470588235293,0.7058823529411765,16.5,0.05172413793103448,0.8,0.3,3.0
Binnenvree Buitenvree Pikveld,Coevorden,Buurt,BU01091003,7742,1325,2.3,3095.0,1405,147.0,89.0,65.0,22.0,13.0,9.0,2730.0,1310.0,1.8064516129032258,0.7817589576547231,21.1,0.06792452830188679,1.1,0.5,3.0
De Heege,Coevorden,Buurt,BU01091004,7742,880,2.3,2948.0,1002,179.0,84.0,62.0,30.0,8.0,28.0,2720.0,1230.0,1.8940397350993377,0.8333333333333334,24.7,0.09090909090909091,1.1,1.4,4.0
Klooster,Coevorden,Buurt,BU01091006,7741,55,2.5,172.0,59,393.0,100.0,98.0,2.0,0.0,8.0,4620.0,2390.0,1.9166666666666667,0.6451612903225806,27.9,0.45454545454545453,1.7,2.2,5.0
Ballast,Coevorden,Buurt,BU01091007,7741,685,2.4,2665.0,670,162.0,99.0,86.0,10.0,4.0,0.0,2980.0,1280.0,1.8345864661654134,0.790273556231003,24.2,0.08029197080291971,1.3,1.4,4.0
De Loo,Coevorden,Buurt,BU01091008,7741,540,2.3,2479.0,559,151.0,100.0,53.0,47.0,1.0,25.0,2620.0,1350.0,1.694736842105263,0.7936507936507936,19.4,0.09259259259259259,1.1,1.2,4.0
Verspreide huizen Coevorden,Coevorden,Buurt,BU01091009,7742,25,2.4,14.0,28,,93.0,86.0,0.0,14.0,14.0,4760.0,2370.0,2.2,1.5384615384615385,,0.8,,2.9,5.0
Hare,Coevorden,Buurt,BU01091011,7741,45,2.5,166.0,47,,89.0,89.0,0.0,6.0,13.0,3940.0,2040.0,1.8181818181818181,0.9090909090909091,27.1,2.5555555555555554,,1.4,5.0
Leeuwerikenveld,Coevorden,Buurt,BU01091012,7741,25,2.7,77.0,28,,82.0,79.0,0.0,21.0,7.0,4200.0,3130.0,,1.5384615384615385,,3.6,,1.6,4.0
Klinkenvlier,Coevorden,Buurt,BU01091014,7742,60,2.4,331.0,62,454.0,100.0,98.0,0.0,2.0,81.0,5000.0,2200.0,2.727272727272727,0.6896551724137931,47.7,0.25,1.7,1.9,5.0
Steenwijksmoer,Coevorden,Buurt,BU01091116,7741,250,2.4,513.0,252,195.0,97.0,86.0,12.0,2.0,11.0,3340.0,1650.0,1.8775510204081634,0.847457627118644,23.8,0.16,1.4,0.5,5.0
Verspreide huizen Steenwijksmoer,Coevorden,Buurt,BU01091117,7741,120,2.8,38.0,120,284.0,95.0,93.0,0.0,8.0,4.0,4160.0,2210.0,1.8571428571428572,0.9090909090909091,24.8,0.375,1.7,2.1,5.0
Nieuwe Krim,Coevorden,Buurt,BU01091218,7741,60,3.0,399.0,63,226.0,100.0,94.0,0.0,6.0,5.0,3910.0,1960.0,,0.5405405405405406,20.7,0.5,1.6,1.3,5.0
Verspreide huizen Weijerswold,Coevorden,Buurt,BU01091320,7742,30,2.5,21.0,31,,100.0,90.0,0.0,10.0,10.0,4430.0,2030.0,2.2,1.3333333333333333,,0.6666666666666666,,4.2,5.0
Dalen,Coevorden,Buurt,BU01092022,7751,1465,2.3,1288.0,1476,227.0,87.0,77.0,17.0,6.0,6.0,3150.0,1660.0,2.037344398340249,0.8157099697885196,27.9,0.18088737201365188,1.4,0.7,5.0
Verspreide huizen Dalen,Coevorden,Buurt,BU01092023,7751,150,2.7,21.0,148,312.0,96.0,89.0,0.0,11.0,9.0,4350.0,2150.0,1.878787878787879,0.7407407407407407,26.8,0.5,1.6,2.2,5.0
Wachtum,Coevorden,Buurt,BU01092024,7754,110,2.5,331.0,115,279.0,100.0,91.0,3.0,5.0,6.0,3960.0,2200.0,2.25,0.7272727272727273,28.6,0.2727272727272727,1.7,0.4,5.0
Verspreide huizen Wachtum,Coevorden,Buurt,BU01092025,7754,35,3.1,10.0,37,,100.0,76.0,0.0,24.0,16.0,3790.0,2350.0,1.625,0.8695652173913043,27.9,0.7142857142857143,,2.5,5.0
Dalerpeel,Coevorden,Buurt,BU01092026,7753,245,2.5,567.0,238,174.0,99.0,75.0,24.0,1.0,11.0,3280.0,1610.0,1.6595744680851063,0.8264462809917356,20.5,0.14285714285714285,1.4,0.4,5.0
Verspreide huizen Dalerpeel,Coevorden,Buurt,BU01092027,7751,95,2.7,19.0,95,286.0,96.0,91.0,0.0,9.0,6.0,3900.0,2150.0,1.9473684210526316,0.8,25.9,0.3684210526315789,1.5,2.7,5.0
Dalerveen,Coevorden,Buurt,BU01092028,7755,120,2.6,396.0,116,258.0,97.0,93.0,3.0,4.0,13.0,4270.0,1910.0,1.9230769230769231,0.6349206349206349,26.2,0.3333333333333333,1.7,0.8,5.0
Stieltjeskanaal,Coevorden,Buurt,BU01092030,7756,65,2.7,136.0,67,272.0,97.0,96.0,1.0,3.0,3.0,4010.0,2140.0,1.8666666666666667,0.5405405405405406,23.6,0.38461538461538464,1.4,2.5,5.0
Verspreide huizen Stieltjeskanaal,Coevorden,Buurt,BU01092031,7756,30,2.8,16.0,26,,92.0,100.0,0.0,0.0,19.0,4960.0,2160.0,1.8333333333333333,1.25,,0.5,,2.8,5.0
Oosterhesselen,Coevorden,Buurt,BU01093032,7861,800,2.1,1026.0,802,211.0,91.0,77.0,19.0,4.0,5.0,2930.0,1710.0,2.098360655737705,0.8259587020648967,26.1,0.1375,1.3,0.8,5.0
Gees,Coevorden,Buurt,BU01093034,7863,225,2.3,615.0,224,254.0,97.0,81.0,13.0,6.0,4.0,3560.0,1820.0,2.0476190476190474,0.7476635514018691,26.1,0.26666666666666666,1.5,2.8,5.0
Zwinderen,Coevorden,Buurt,BU01093036,7864,95,2.6,292.0,100,255.0,100.0,96.0,0.0,4.0,12.0,3620.0,1930.0,2.25,0.8163265306122449,35.6,0.3157894736842105,1.8,3.1,5.0
Verspreide huizen Zwinderen,Coevorden,Buurt,BU01093037,7864,50,2.9,11.0,51,,100.0,84.0,0.0,16.0,10.0,4700.0,1850.0,2.0,0.6666666666666666,25.2,0.8,1.2,3.7,5.0
Geesbrug,Coevorden,Buurt,BU01093038,7917,290,2.4,1429.0,294,171.0,100.0,77.0,21.0,2.0,14.0,3130.0,1540.0,1.6666666666666667,0.8391608391608392,19.9,0.13793103448275862,1.3,0.4,5.0
Verspreide huizen Geesbrug,Coevorden,Buurt,BU01093039,7917,225,2.6,32.0,201,282.0,94.0,87.0,0.0,12.0,18.0,4450.0,2220.0,1.8666666666666667,0.8547008547008547,25.4,0.5555555555555556,1.7,1.4,5.0
Verspreide huizen Nieuwlande,Coevorden,Buurt,BU01093068,7929,25,2.2,14.0,24,,100.0,100.0,0.0,0.0,8.0,3880.0,2100.0,2.25,1.8181818181818181,,0.6,,2.8,5.0
Sleen,Coevorden,Buurt,BU01094040,7841,960,2.2,1031.0,991,212.0,93.0,72.0,25.0,3.0,11.0,2850.0,1660.0,1.9871794871794872,0.851063829787234,26.3,0.15104166666666666,1.3,0.5,5.0
Diphoorn,Coevorden,Buurt,BU01094041,7842,30,2.3,164.0,30,,93.0,97.0,0.0,3.0,10.0,4440.0,3070.0,2.25,1.4285714285714286,,0.3333333333333333,,1.7,5.0
Noord-Sleen,Coevorden,Buurt,BU01094043,7846,195,2.3,498.0,192,278.0,98.0,96.0,1.0,3.0,6.0,3600.0,2030.0,2.264705882352941,0.8791208791208791,28.4,0.28205128205128205,1.4,0.9,5.0
Schoonoord,Coevorden,Buurt,BU01094047,7848,910,2.1,1189.0,900,188.0,97.0,56.0,40.0,4.0,11.0,2940.0,1550.0,1.6866666666666668,0.7980049875311721,21.9,0.13186813186813187,1.2,0.4,5.0
De Kiel,Coevorden,Buurt,BU01094048,7849,120,2.3,705.0,99,228.0,100.0,84.0,12.0,4.0,2.0,3140.0,1600.0,1.8636363636363635,0.7142857142857143,24.3,0.16666666666666666,1.4,0.4,5.0
Verspreide huizen De Kiel,Coevorden,Buurt,BU01094049,7849,45,2.1,28.0,50,,96.0,98.0,0.0,2.0,12.0,3960.0,1900.0,2.0,1.0,29.6,0.4444444444444444,,1.3,5.0
Erm,Coevorden,Buurt,BU01094053,7843,160,2.5,468.0,149,278.0,96.0,93.0,0.0,7.0,6.0,3690.0,1970.0,2.129032258064516,0.759493670886076,28.8,0.25,1.6,0.6,5.0
Zweeloo,Coevorden,Buurt,BU01095058,7851,145,2.3,546.0,147,278.0,86.0,85.0,3.0,11.0,2.0,3590.0,2080.0,2.0689655172413794,0.8571428571428571,27.6,0.4482758620689655,1.5,1.7,5.0
Aalden,Coevorden,Buurt,BU01095059,7854,750,2.2,1503.0,755,195.0,94.0,71.0,21.0,8.0,12.0,2850.0,1650.0,1.923728813559322,0.8641975308641975,24.7,0.14666666666666667,1.2,0.6,5.0
Meppen,Coevorden,Buurt,BU01095061,7855,135,2.3,523.0,134,295.0,97.0,92.0,0.0,8.0,6.0,3600.0,2090.0,2.08,0.967741935483871,31.3,0.2962962962962963,1.5,2.3,5.0
Wezup,Coevorden,Buurt,BU01095063,7852,70,2.2,244.0,76,328.0,100.0,92.0,0.0,8.0,8.0,3940.0,2290.0,2.3846153846153846,0.6060606060606061,38.3,0.5,2.0,1.3,5.0
Wezuperbrug,Coevorden,Buurt,BU01095064,7853,75,2.3,218.0,74,256.0,96.0,82.0,5.0,12.0,8.0,3860.0,1670.0,1.9285714285714286,1.1764705882352942,31.4,0.26666666666666666,1.9,2.0,5.0
Benneveld,Coevorden,Buurt,BU01095065,7856,60,2.5,452.0,62,324.0,94.0,94.0,0.0,6.0,0.0,3820.0,2380.0,2.3846153846153846,0.6896551724137931,33.0,0.5,1.6,3.6,5.0
Budel,Cranendonck,Buurt,BU17060000,6021,3555,2.2,2599.0,3640,235.0,85.0,67.0,21.0,12.0,12.0,3100.0,1400.0,1.9692307692307693,0.8071748878923767,25.7,0.17862165963431786,1.2,0.6,4.0
"Heikant, Meemortel, Bosch",Cranendonck,Buurt,BU17060001,6021,155,2.5,203.0,156,362.0,96.0,89.0,0.0,11.0,17.0,4530.0,2040.0,2.0,0.75,29.2,0.3870967741935484,1.9,1.1,5.0
Keunenhoek Broekkant Schoordijk,Cranendonck,Buurt,BU17060002,6021,145,2.7,183.0,154,342.0,96.0,93.0,0.0,7.0,8.0,4080.0,1940.0,2.1379310344827585,0.75,26.4,0.3103448275862069,1.9,1.8,5.0
Verspreide huizen Berg en Toom,Cranendonck,Buurt,BU17060008,6021,135,2.6,82.0,142,385.0,89.0,89.0,0.0,11.0,20.0,4370.0,1960.0,2.1379310344827585,0.8571428571428571,31.5,0.5185185185185185,1.3,1.2,5.0
Budel-Schoot,Cranendonck,Buurt,BU17060100,6023,840,2.2,2514.0,843,212.0,95.0,65.0,29.0,6.0,5.0,3190.0,1390.0,1.7533333333333334,0.8443271767810027,22.9,0.1488095238095238,1.3,0.5,5.0
Klein-Schoot,Cranendonck,Buurt,BU17060101,6023,45,2.3,51.0,48,,92.0,88.0,0.0,13.0,10.0,3970.0,1840.0,2.0,0.9090909090909091,29.4,0.5555555555555556,,1.0,5.0
Budel-Dorplein,Cranendonck,Buurt,BU17060200,6024,605,2.3,1187.0,606,219.0,100.0,84.0,13.0,3.0,4.0,3530.0,1520.0,,0.851063829787234,24.4,0.1322314049586777,1.4,0.8,5.0
Maarheeze,Cranendonck,Buurt,BU17060300,6026,1985,2.3,2519.0,1997,247.0,92.0,75.0,18.0,7.0,9.0,3290.0,1520.0,2.0787172011661808,0.8154506437768241,28.0,0.181360201511335,1.3,1.0,4.0
Kamersven,Cranendonck,Buurt,BU17060301,6026,85,2.3,206.0,91,563.0,100.0,100.0,0.0,0.0,1.0,5050.0,3170.0,2.466666666666667,0.975609756097561,49.6,0.35294117647058826,1.8,2.9,5.0
Verspreide huizen Hugten,Cranendonck,Buurt,BU17060308,6026,75,2.5,16.0,84,487.0,100.0,92.0,0.0,8.0,26.0,5620.0,2730.0,2.2142857142857144,1.0256410256410255,46.4,0.5333333333333333,1.8,2.6,5.0
Verspreide huizen Maarheeze,Cranendonck,Buurt,BU17060309,6026,45,2.7,31.0,45,,100.0,82.0,0.0,18.0,11.0,5090.0,2390.0,,0.7407407407407407,30.8,0.6666666666666666,,1.6,5.0
Soerendonk,Cranendonck,Buurt,BU17060400,6027,690,2.5,519.0,707,306.0,96.0,83.0,10.0,8.0,22.0,3810.0,1740.0,1.916030534351145,0.8235294117647058,27.3,0.2536231884057971,1.5,0.5,5.0
Gastel,Cranendonck,Buurt,BU17060500,6028,300,2.5,366.0,304,327.0,99.0,81.0,2.0,17.0,22.0,4040.0,1690.0,,0.8053691275167785,25.6,0.3333333333333333,1.6,0.4,5.0
Deurne-Centrum,Deurne,Buurt,BU07620000,5751,3045,2.0,2853.0,3206,276.0,65.0,53.0,31.0,15.0,15.0,2790.0,1360.0,1.919811320754717,0.858085808580858,25.8,0.18555008210180624,1.0,0.6,3.0
Sint Jozefparochie,Deurne,Buurt,BU07620001,5753,1120,2.3,1953.0,1122,272.0,81.0,64.0,32.0,4.0,27.0,3280.0,1400.0,1.8838383838383839,0.7894736842105263,24.7,0.16071428571428573,1.2,0.5,4.0
Zeilberg,Deurne,Buurt,BU07620002,5754,750,2.4,2073.0,754,290.0,97.0,61.0,36.0,3.0,10.0,3430.0,1530.0,1.8776978417266188,0.8287292817679558,26.1,0.2,1.2,0.5,4.0
Walsberg,Deurne,Buurt,BU07620003,5752,400,2.6,1143.0,398,373.0,99.0,88.0,7.0,5.0,9.0,4040.0,2060.0,2.0684931506849313,0.7729468599033816,30.9,0.25,1.4,0.6,4.0
Koolhof,Deurne,Buurt,BU07620004,5751,1760,2.3,4636.0,1777,228.0,89.0,55.0,39.0,6.0,2.0,3030.0,1300.0,1.8544303797468353,0.8078335373317014,22.7,0.10795454545454546,1.1,0.5,3.0
Heiakker,Deurne,Buurt,BU07620005,5754,1965,2.4,4677.0,1953,259.0,94.0,69.0,24.0,7.0,4.0,3180.0,1240.0,1.912,0.8207343412526998,26.6,0.12213740458015267,1.2,0.5,3.0
De Vennen,Deurne,Buurt,BU07620007,5751,145,2.9,2810.0,156,392.0,94.0,83.0,8.0,9.0,81.0,4120.0,1600.0,2.2222222222222223,0.631578947368421,29.3,0.2413793103448276,1.3,1.3,4.0
Verspreide huizen Deurne,Deurne,Buurt,BU07620009,5752,1165,2.7,73.0,1169,324.0,92.0,81.0,4.0,15.0,33.0,4430.0,1890.0,1.9128787878787878,0.7153075822603719,26.0,0.47639484978540775,1.5,1.9,5.0
Vlierden,Deurne,Buurt,BU07620100,5756,435,2.6,1330.0,437,335.0,97.0,84.0,11.0,5.0,22.0,3920.0,1720.0,2.011627906976744,0.7894736842105263,29.7,0.3103448275862069,1.4,0.4,5.0
Verspreide huizen Vlierden,Deurne,Buurt,BU07620109,5756,85,2.9,21.0,94,398.0,95.0,87.0,0.0,13.0,5.0,4520.0,2350.0,2.0476190476190474,0.8,30.8,0.7058823529411765,1.9,1.7,5.0
Liessel,Deurne,Buurt,BU07620200,5757,1040,2.3,1431.0,1066,275.0,88.0,67.0,27.0,5.0,21.0,3390.0,1470.0,1.92,0.8033826638477801,24.3,0.18269230769230768,1.3,0.7,5.0
Verspreide huizen Liessel,Deurne,Buurt,BU07620209,5757,305,2.6,48.0,298,345.0,97.0,87.0,0.0,13.0,9.0,4560.0,2180.0,1.8688524590163935,0.8641975308641975,26.5,0.5245901639344263,1.6,1.9,5.0
Neerkant,Deurne,Buurt,BU07620300,5758,560,2.4,1397.0,568,247.0,94.0,73.0,23.0,3.0,16.0,3530.0,1560.0,1.875,0.8148148148148148,25.0,0.1875,1.4,0.4,5.0
Verspreide huizen Neerkant,Deurne,Buurt,BU07620309,5758,190,2.8,56.0,202,313.0,94.0,90.0,0.0,10.0,11.0,4570.0,1990.0,1.8888888888888888,0.7547169811320755,26.4,0.5526315789473685,1.9,1.7,5.0
Helenaveen,Deurne,Buurt,BU07620400,5759,295,2.4,298.0,304,264.0,97.0,67.0,26.0,6.0,20.0,3670.0,1630.0,1.9215686274509804,0.8695652173913043,27.1,0.2711864406779661,1.5,0.5,5.0
Bergkwartier,Deventer,Buurt,BU01500102,7411,430,1.6,7699.0,425,227.0,31.0,20.0,27.0,53.0,2.0,2080.0,1190.0,2.3833333333333333,0.8759124087591241,31.9,0.3372093023255814,0.6,0.5,1.0
Noordenbergkwartier,Deventer,Buurt,BU01500103,7411,555,1.5,12569.0,499,205.0,36.0,32.0,48.0,20.0,3.0,2070.0,1090.0,2.2432432432432434,0.9411764705882353,28.8,0.18018018018018017,0.5,0.3,1.0
Noordenbergsingel,Deventer,Buurt,BU01500104,7411,230,1.7,4141.0,203,361.0,43.0,71.0,3.0,25.0,0.0,2760.0,1590.0,2.4857142857142858,1.0,36.6,0.391304347826087,0.9,0.4,1.0
Raambuurt,Deventer,Buurt,BU01500106,7411,545,1.8,10301.0,535,204.0,47.0,57.0,12.0,30.0,48.0,2170.0,460.0,2.3421052631578947,0.8040201005025126,29.5,0.22018348623853212,0.8,0.9,2.0
De Hoven,Deventer,Buurt,BU01500201,7419,975,2.4,547.0,977,217.0,98.0,83.0,13.0,4.0,3.0,2720.0,1370.0,2.096590909090909,0.7792207792207793,25.9,0.16923076923076924,1.1,0.5,3.0
Noorderplein,Deventer,Buurt,BU01500301,7412,730,1.6,10922.0,632,154.0,53.0,57.0,14.0,29.0,22.0,2070.0,1010.0,2.1770833333333335,0.8658008658008658,25.9,0.1643835616438356,0.6,0.5,1.0
Zwolseweg,Deventer,Buurt,BU01500302,7412,1020,2.4,7503.0,984,260.0,95.0,89.0,8.0,3.0,0.0,2670.0,1470.0,2.2459893048128343,0.7661290322580645,29.6,0.18137254901960784,1.0,0.4,1.0
Lange Zandstraat,Deventer,Buurt,BU01500303,7412,790,2.0,9547.0,768,168.0,81.0,63.0,29.0,9.0,0.0,2140.0,1150.0,2.0403225806451615,0.8333333333333334,23.6,0.10126582278481013,0.8,0.8,1.0
Zandweerd-Zuid,Deventer,Buurt,BU01500304,7412,1415,2.0,8724.0,1352,149.0,79.0,46.0,49.0,5.0,7.0,2170.0,1060.0,1.8842592592592593,0.8127208480565371,21.2,0.0636042402826855,0.8,0.5,2.0
Zandweerd-Noord,Deventer,Buurt,BU01500305,7412,875,1.8,2677.0,891,146.0,47.0,36.0,15.0,49.0,15.0,2030.0,990.0,1.8608695652173912,0.8227848101265823,22.3,0.05714285714285714,0.8,0.4,2.0
Schrijversbuurt,Deventer,Buurt,BU01500306,7412,1270,1.7,5231.0,1304,128.0,33.0,38.0,44.0,18.0,6.0,1980.0,1040.0,2.0179640718562872,0.8450704225352113,23.4,0.07480314960629922,0.7,0.6,2.0
Rode Dorp,Deventer,Buurt,BU01500401,7413,1275,2.0,5657.0,1182,154.0,85.0,37.0,56.0,6.0,23.0,2400.0,1120.0,1.7740384615384615,0.7604562737642585,19.6,0.08235294117647059,0.7,0.3,1.0
Burgemeestersbuurt,Deventer,Buurt,BU01500403,7413,530,2.2,8253.0,489,177.0,83.0,52.0,41.0,7.0,19.0,2520.0,1170.0,1.831578947368421,0.7792207792207793,21.7,0.10377358490566038,0.8,0.3,1.0
Oosterstraat,Deventer,Buurt,BU01500404,7413,1125,1.7,8918.0,885,163.0,77.0,57.0,26.0,17.0,5.0,2170.0,1140.0,2.178343949044586,0.7368421052631579,23.6,0.09777777777777778,0.5,0.3,1.0
Rielerweg-West,Deventer,Buurt,BU01500405,7416,865,1.8,9006.0,766,136.0,73.0,41.0,36.0,23.0,1.0,2300.0,1080.0,1.9253731343283582,0.8387096774193549,20.8,0.15606936416184972,0.6,0.8,1.0
Rielerweg-Oost,Deventer,Buurt,BU01500406,7416,835,2.3,1821.0,826,173.0,96.0,46.0,42.0,11.0,26.0,2490.0,1100.0,1.86986301369863,0.7368421052631579,21.0,0.11377245508982035,0.8,1.5,2.0
Borgele,Deventer,Buurt,BU01500501,7414,1915,1.9,3321.0,1977,158.0,41.0,29.0,68.0,3.0,4.0,2350.0,1160.0,1.926530612244898,0.8241758241758241,22.1,0.08093994778067885,0.8,0.4,2.0
Platvoet,Deventer,Buurt,BU01500502,7414,750,2.3,2207.0,748,184.0,55.0,60.0,37.0,3.0,8.0,2560.0,1170.0,2.0,0.8235294117647058,24.0,0.14,1.0,1.0,3.0
Ludgeruskwartier,Deventer,Buurt,BU01500601,7415,1515,1.7,6857.0,1527,140.0,21.0,33.0,58.0,9.0,15.0,1970.0,950.0,1.8926553672316384,0.8380952380952381,22.4,0.07920792079207921,0.6,0.4,1.0
Tuindorp,Deventer,Buurt,BU01500602,7415,955,1.9,7678.0,964,128.0,60.0,27.0,69.0,4.0,0.0,1990.0,1010.0,1.7338129496402879,0.821917808219178,18.5,0.05759162303664921,0.7,0.4,1.0
Rollecatekwartier,Deventer,Buurt,BU01500603,7415,620,2.3,3541.0,566,297.0,80.0,81.0,4.0,15.0,4.0,2840.0,1580.0,2.439252336448598,0.7560137457044673,32.9,0.22580645161290322,1.1,0.9,2.0
Oranjekwartier,Deventer,Buurt,BU01500604,7415,1310,1.9,6037.0,1301,127.0,32.0,28.0,56.0,16.0,3.0,2250.0,570.0,1.8111111111111111,0.8213552361396304,19.2,0.061068702290076333,0.7,0.5,2.0
Landsherenkwartier,Deventer,Buurt,BU01500605,7415,880,2.1,3878.0,1005,147.0,45.0,24.0,75.0,1.0,35.0,2140.0,580.0,1.7686567164179106,0.7088607594936709,19.1,0.05113636363636364,0.8,0.6,2.0
Deltabuurt,Deventer,Buurt,BU01500702,7417,1475,2.0,6699.0,1283,118.0,31.0,38.0,25.0,37.0,20.0,2320.0,440.0,1.7675438596491229,0.7876712328767124,18.8,0.07457627118644068,0.7,0.7,3.0
Het Oostrik,Deventer,Buurt,BU01500801,7423,1030,2.3,8795.0,978,149.0,70.0,77.0,17.0,6.0,12.0,2830.0,1210.0,1.7842105263157895,0.7610993657505285,21.5,0.07766990291262135,1.0,0.4,2.0
Groot Douwel,Deventer,Buurt,BU01500802,7423,880,2.3,5020.0,873,191.0,93.0,75.0,21.0,4.0,0.0,2750.0,1330.0,2.042944785276074,0.7600950118764845,24.9,0.09659090909090909,1.0,0.4,2.0
Blauwenoord,Deventer,Buurt,BU01500803,7423,640,2.5,5478.0,646,173.0,93.0,75.0,24.0,1.0,4.0,2780.0,1120.0,1.9365079365079365,0.7547169811320755,23.5,0.0703125,1.1,0.6,3.0
Op den Haar,Deventer,Buurt,BU01500901,7425,1115,2.7,3879.0,1115,256.0,94.0,88.0,9.0,3.0,4.0,3100.0,1100.0,2.1120689655172415,0.7933884297520661,28.0,0.13452914798206278,1.2,0.8,3.0
Steinvoorde,Deventer,Buurt,BU01500902,7425,715,2.5,6071.0,698,232.0,88.0,81.0,12.0,6.0,10.0,2950.0,960.0,2.2611940298507465,0.7777777777777778,25.6,0.13286713286713286,1.1,0.3,3.0
Graveland,Deventer,Buurt,BU01500903,7425,165,2.7,1719.0,167,559.0,90.0,99.0,0.0,1.0,100.0,4410.0,1950.0,2.41025641025641,0.8695652173913043,46.3,0.3333333333333333,1.5,1.0,4.0
Het Jeurlink,Deventer,Buurt,BU01500904,7424,760,2.7,4482.0,762,235.0,91.0,82.0,15.0,3.0,99.0,3050.0,960.0,2.104575163398693,0.7142857142857143,26.2,0.10526315789473684,1.2,0.8,3.0
Spikvoorde,Deventer,Buurt,BU01500906,7425,885,3.1,7102.0,939,283.0,92.0,74.0,18.0,8.0,100.0,3250.0,1140.0,2.1522842639593907,0.6773618538324421,27.8,0.1807909604519774,1.2,0.8,4.0
Snipperling,Deventer,Buurt,BU01501001,7418,135,2.3,787.0,116,358.0,99.0,96.0,0.0,4.0,48.0,3780.0,1650.0,2.1481481481481484,0.9230769230769231,31.6,0.5925925925925926,1.5,1.7,4.0
