WijkenEnBuurten,Gemeentenaam_1,SoortRegio_2,Codering_3,MeestVoorkomendePostcode_113,HuishoudensTotaal_28,GemiddeldeHuishoudensgrootte_32,Bevolkingsdichtheid_33,GemiddeldeWoningwaarde_35,PercentageEengezinswoning_36,Koopwoningen_40,InBezitWoningcorporatie_42,InBezitOverigeVerhuurders_43,BouwjaarVanaf2000_46,GemiddeldElektriciteitsverbruikTotaal_47,GemiddeldAardgasverbruikTotaal_55,Gemiddeld_opleidingsniveau,Percent_inkomensontvangers,Bedrijfsvestigingen_per_huishuidens,PersonenautoSPerHuishouden_102,AfstandTotSchool_108,Omgevingsadressendichtheid_116
Emmerhout,Emmen,Buurt,1144400,7823,3660,1.9,3562.0,126.0,64.0,47.0,44.0,10.0,18.0,2340.0,1260.0,1.7700934579439251,0.8143547273982057,0.06147540983606557,0.9,0.8,1552.0
Emmerschans,Emmen,Buurt,1144500,7823,475,2.2,1634.0,175.0,96.0,58.0,34.0,7.0,13.0,2970.0,1700.0,1.8846153846153846,0.7547169811320755,0.10526315789473684,1.1,1.8,827.0
Bargeres,Emmen,Buurt,1144600,7812,4365,2.0,3679.0,136.0,79.0,56.0,34.0,10.0,2.0,2450.0,1340.0,1.8887262079062959,0.7906458797327395,0.08705612829324169,0.9,0.8,1269.0
Rietlanden,Emmen,Buurt,1144700,7827,3925,2.4,3479.0,187.0,89.0,74.0,12.0,14.0,2.0,2820.0,1270.0,2.0257104194857916,0.7838983050847458,0.10828025477707007,1.2,0.7,812.0
Parc Sandur,Emmen,Buurt,1144800,7828,850,2.4,971.0,243.0,100.0,87.0,0.0,13.0,62.0,3210.0,1420.0,2.245398773006135,0.821256038647343,0.18823529411764706,1.4,4.2,348.0
Delftlanden,Emmen,Buurt,1144900,7813,285,3.0,526.0,237.0,100.0,94.0,0.0,5.0,100.0,3300.0,1330.0,2.197674418604651,0.49382716049382713,0.15789473684210525,1.4,1.7,303.0
Barger-Oosterveld,Emmen,Buurt,1145000,7826,1270,2.4,1601.0,211.0,98.0,81.0,12.0,7.0,17.0,3480.0,1760.0,1.7916666666666667,0.8116883116883117,0.2637795275590551,1.3,0.6,367.0
Weerdinge,Emmen,Buurt,1145100,7814,230,2.4,444.0,227.0,94.0,89.0,3.0,9.0,6.0,3510.0,1940.0,2.0217391304347827,0.8928571428571429,0.2826086956521739,1.5,0.6,68.0
Westenesch,Emmen,Buurt,1145101,7814,65,2.7,274.0,371.0,93.0,88.0,0.0,12.0,6.0,4460.0,2990.0,1.9333333333333333,0.5882352941176471,0.46153846153846156,1.6,2.1,144.0
Verspreide huizen Emmen,Emmen,Buurt,1145109,7814,355,2.3,19.0,200.0,99.0,82.0,9.0,9.0,13.0,4050.0,2070.0,1.8823529411764706,0.8433734939759037,0.38028169014084506,1.4,1.8,405.0
