WijkenEnBuurten,Gemeentenaam_1,SoortRegio_2,Codering_3,MeestVoorkomendePostcode_113,HuishoudensTotaal_28,GemiddeldeHuishoudensgrootte_32,Bevolkingsdichtheid_33,GemiddeldeWoningwaarde_35,PercentageEengezinswoning_36,Koopwoningen_40,InBezitWoningcorporatie_42,InBezitOverigeVerhuurders_43,BouwjaarVanaf2000_46,GemiddeldElektriciteitsverbruikTotaal_47,GemiddeldAardgasverbruikTotaal_55,Gemiddeld_opleidingsniveau,Percent_inkomensontvangers,Bedrijfsvestigingen_per_huishuidens,PersonenautoSPerHuishouden_102,AfstandTotSchool_108,Omgevingsadressendichtheid_116
Baggelhuizen Noord,Assen,Buurt,1060504,9405,325,2.2,4650.0,134.0,100.0,12.0,88.0,0.0,0.0,2000.0,1310.0,1.7450980392156863,0.6944444444444444,0.03076923076923077,0.8,0.6,567.0
Lauwers,Assen,Buurt,1060505,9405,1,,,,,,,,,,,,,10.0,,,754.0
Huize Nassau,Assen,Buurt,1060506,9405,10,2.6,110.0,,,,,,,,,,0.0,4.0,,1.8,957.0
Kazerneterrein,Assen,Buurt,1060507,9405,1,,,,,,,,,,,,,0.0,,,1096.0
Westerpark,Assen,Buurt,1060508,9405,230,2.1,1318.0,302.0,95.0,96.0,0.0,3.0,7.0,2920.0,1900.0,2.3333333333333335,0.8163265306122449,0.13043478260869565,1.3,1.1,923.0
Sportpark Stadsbroek,Assen,Buurt,1060509,9405,1,,,,,,,,,,,,,5.0,,,516.0
De Venen/De Wallen,Assen,Buurt,1060600,9407,440,2.2,3879.0,158.0,88.0,67.0,30.0,3.0,0.0,2630.0,1190.0,1.9350649350649352,0.8247422680412371,0.056818181818181816,1.0,0.7,1515.0
De Velden/De Stukken,Assen,Buurt,1060601,9407,750,2.4,5660.0,151.0,96.0,72.0,11.0,17.0,0.0,2620.0,1220.0,2.0144927536231885,0.7909604519774012,0.08666666666666667,1.1,0.3,1029.0
De Landen/De Akkers,Assen,Buurt,1060602,9407,1065,2.1,5787.0,141.0,80.0,62.0,35.0,3.0,0.0,2480.0,1050.0,1.92090395480226,0.7947019867549668,0.0892018779342723,1.0,0.5,1403.0
De Kampen/De Essen,Assen,Buurt,1060603,9407,685,2.3,3752.0,167.0,96.0,60.0,18.0,21.0,2.0,2610.0,1220.0,2.032520325203252,0.8227848101265823,0.10218978102189781,1.1,0.8,1498.0
Peelerpark,Assen,Buurt,1060604,9407,15,2.3,74.0,,,,,,,,1780.0,,0.0,6.666666666666667,,2.3,721.0
Messchenveld,Assen,Buurt,1060700,9403,40,3.6,164.0,,4.0,89.0,0.0,11.0,100.0,4860.0,2140.0,1.9230769230769231,0.6666666666666666,2.75,,2.5,769.0
De Messchen,Assen,Buurt,1060701,9403,350,2.4,3388.0,278.0,91.0,93.0,0.0,7.0,0.0,3010.0,1400.0,2.3676470588235294,0.8284023668639053,0.12857142857142856,1.4,0.9,687.0
De Hamels,Assen,Buurt,1060702,9403,220,2.7,3279.0,290.0,100.0,100.0,0.0,0.0,0.0,3250.0,1500.0,2.297872340425532,0.8620689655172413,0.11363636363636363,1.2,0.7,910.0
De Kleuven,Assen,Buurt,1060703,9403,470,2.4,6094.0,165.0,89.0,77.0,21.0,2.0,0.0,2590.0,1000.0,2.0114942528735633,0.7792207792207793,0.09574468085106383,1.3,0.5,1048.0
De Dreven,Assen,Buurt,1060704,9403,465,2.5,5819.0,184.0,100.0,72.0,25.0,2.0,4.0,2640.0,1170.0,2.0813953488372094,0.7860262008733624,0.08602150537634409,1.1,0.5,1234.0
De Breeën,Assen,Buurt,1060705,9403,365,2.4,2898.0,236.0,86.0,85.0,0.0,14.0,14.0,2970.0,1500.0,2.1739130434782608,0.8045977011494253,0.1232876712328767,1.4,0.6,1193.0
De Hoven,Assen,Buurt,1060706,9403,355,2.5,3528.0,253.0,95.0,93.0,5.0,1.0,6.0,3080.0,1510.0,2.246376811594203,0.7821229050279329,0.08450704225352113,1.2,0.3,1400.0
De Heugten,Assen,Buurt,1060707,9403,575,2.1,6055.0,156.0,92.0,61.0,32.0,7.0,0.0,2450.0,1030.0,1.8877551020408163,0.8097165991902834,0.0782608695652174,1.0,0.4,1404.0
De Beemden,Assen,Buurt,1060708,9403,350,2.4,4234.0,186.0,93.0,53.0,36.0,11.0,3.0,2640.0,1190.0,1.9841269841269842,0.8484848484848485,0.15714285714285714,1.0,0.4,1373.0
De Hullen,Assen,Buurt,1060709,9403,395,2.5,7426.0,194.0,100.0,93.0,0.0,7.0,0.0,2820.0,1260.0,2.116883116883117,0.8040201005025126,0.08860759493670886,1.2,0.2,1346.0
De Stoepen,Assen,Buurt,1060710,9403,820,2.7,4633.0,230.0,97.0,96.0,0.0,4.0,9.0,3040.0,1230.0,2.1292134831460676,0.7982261640798226,0.14634146341463414,1.3,1.0,1022.0
De Goorns,Assen,Buurt,1060711,9403,325,2.2,4878.0,158.0,96.0,56.0,36.0,8.0,0.0,2480.0,1070.0,1.8703703703703705,0.821917808219178,0.046153846153846156,1.0,0.6,1309.0
Bedrijventerrein Marsdijk West,Assen,Buurt,1060712,9403,70,2.3,416.0,230.0,76.0,88.0,0.0,12.0,41.0,3820.0,2010.0,2.0714285714285716,0.625,1.8571428571428572,,0.7,1308.0
Bedrijventerrein West,Assen,Buurt,1060713,9403,5,2.3,46.0,,,,,,,3110.0,,,0.0,10.0,,1.5,1390.0
Bedrijventerrein Oost,Assen,Buurt,1060714,9403,20,2.0,135.0,,41.0,64.0,0.0,36.0,5.0,3080.0,2280.0,,0.0,4.75,,1.5,984.0
Bedrijventerrein Marsdijk Oost,Assen,Buurt,1060715,9403,75,2.5,266.0,263.0,58.0,85.0,0.0,15.0,22.0,4730.0,2170.0,1.7777777777777777,1.0256410256410255,2.0,,1.5,647.0
Havenkanaal Noordzijde,Assen,Buurt,1060716,9403,5,1.7,24.0,,,,,,,,,,0.0,12.0,,1.5,972.0
Havenkanaal Zuidzijde,Assen,Buurt,1060717,9403,65,1.1,298.0,,,,,,,2410.0,2240.0,1.75,1.4285714285714286,0.9230769230769231,,1.8,1629.0
Kloosterveste,Assen,Buurt,1060800,9408,375,1.9,5025.0,170.0,48.0,48.0,24.0,28.0,100.0,2140.0,810.0,2.109090909090909,0.821917808219178,0.13333333333333333,0.8,0.4,1101.0
Kloostertuinen,Assen,Buurt,1060801,9408,325,2.8,6194.0,215.0,93.0,91.0,7.0,1.0,100.0,2950.0,1070.0,2.203125,0.6557377049180327,0.12307692307692308,1.3,0.6,1018.0
Kloosterhaven,Assen,Buurt,1060802,9408,130,2.8,2401.0,329.0,82.0,91.0,7.0,1.0,94.0,3230.0,1470.0,2.1785714285714284,0.8108108108108109,0.23076923076923078,1.5,1.0,931.0
Kloosterlanen,Assen,Buurt,1060803,9408,275,3.1,4307.0,350.0,100.0,99.0,0.0,1.0,100.0,3830.0,1500.0,2.1875,0.8045977011494253,0.2,1.6,0.5,983.0
Kloosterhoven,Assen,Buurt,1060804,9408,490,2.4,5907.0,197.0,86.0,44.0,29.0,26.0,100.0,2630.0,930.0,2.313953488372093,0.728744939271255,0.11224489795918367,1.0,0.4,1038.0
Kloosterstede,Assen,Buurt,1060805,9408,375,2.8,7614.0,219.0,92.0,69.0,29.0,2.0,100.0,2910.0,1090.0,2.108108108108108,0.660377358490566,0.10666666666666667,1.2,0.5,971.0
Kloostergaarde,Assen,Buurt,1060806,9408,160,2.8,3440.0,190.0,100.0,58.0,42.0,1.0,100.0,2730.0,990.0,2.032258064516129,0.6593406593406593,0.125,1.1,0.2,711.0
Kloosterhage,Assen,Buurt,1060807,9408,290,3.3,7503.0,264.0,100.0,95.0,0.0,5.0,100.0,3460.0,1160.0,2.161764705882353,0.717948717948718,0.1724137931034483,1.4,0.7,927.0
Kloosterkade,Assen,Buurt,1060808,9408,175,3.3,5389.0,287.0,100.0,97.0,0.0,3.0,97.0,3420.0,1330.0,2.35,0.6956521739130435,0.14285714285714285,1.4,1.1,898.0
Sterrenbeeldenbuurt,Assen,Buurt,1060809,9405,215,3.0,3993.0,304.0,100.0,99.0,0.0,1.0,16.0,3500.0,1440.0,2.1875,0.7692307692307693,0.13953488372093023,1.4,1.4,563.0
Planetenbuurt,Assen,Buurt,1060810,9405,350,2.5,4321.0,215.0,95.0,98.0,0.0,2.0,6.0,2870.0,1050.0,2.1470588235294117,0.7954545454545454,0.11428571428571428,1.4,1.4,696.0
De Zoom,Assen,Buurt,1060811,9405,5,2.3,49.0,,,,,,,,,,0.0,5.0,,1.6,595.0
De Hoogspanning,Assen,Buurt,1060812,9406,10,3.0,167.0,,,,,,,4610.0,2190.0,,0.0,0.5,,2.3,859.0
Groene Dijk,Assen,Buurt,1060813,9406,20,2.3,117.0,,,,,,,2690.0,1210.0,1.75,0.0,0.5,,1.8,1066.0
Recreatiepark Zeijerveen,Assen,Buurt,1060814,9406,5,2.0,14.0,,,,,,,,,,0.0,1.0,,1.8,632.0
Kloosterhout,Assen,Buurt,1060815,9408,330,3.5,3985.0,408.0,96.0,96.0,4.0,1.0,100.0,3990.0,1640.0,2.2976190476190474,0.6866952789699571,0.24242424242424243,1.5,1.2,794.0
Kloosterbos,Assen,Buurt,1060816,9408,400,3.2,6601.0,262.0,94.0,72.0,28.0,1.0,100.0,2990.0,1180.0,2.1555555555555554,0.6037735849056604,0.1375,1.3,0.7,710.0
Uitbreidingsgebied Kloosterveen,Assen,Buurt,1060817,9406,25,3.0,49.0,,100.0,90.0,0.0,10.0,0.0,4350.0,2090.0,2.142857142857143,1.25,0.4,,1.8,245.0
Loon,Assen,Buurt,1069900,9409,110,2.4,966.0,363.0,100.0,95.0,0.0,5.0,8.0,3580.0,2220.0,2.3157894736842106,0.7692307692307693,0.2727272727272727,1.4,2.3,143.0
Verspreide huizen Loon,Assen,Buurt,1069901,9409,5,2.2,3.0,,,,,,,,,,0.0,1.0,,1.7,340.0
Het grote Veld,Assen,Buurt,1069902,9403,10,2.8,13.0,,,,,,,4440.0,2370.0,,0.0,0.5,,4.0,43.0
Verspreide huizen Ubbena Oost,Assen,Buurt,1069903,9492,20,2.5,15.0,,96.0,83.0,0.0,17.0,9.0,4320.0,2450.0,2.0,0.0,0.5,,3.0,27.0
Ubbena,Assen,Buurt,1069904,9492,40,2.3,202.0,,86.0,92.0,0.0,8.0,3.0,3900.0,2170.0,1.625,1.0526315789473684,0.375,,2.2,25.0
Verspreide huizen Ubbena West,Assen,Buurt,1069905,9492,5,2.3,6.0,,,,,,,,,,0.0,1.0,,0.6,71.0
Rhee,Assen,Buurt,1069906,9486,15,2.2,20.0,,,,,,,4200.0,2710.0,2.0,0.0,0.6666666666666666,,2.5,52.0
Verspreide huizen Ter Aard,Assen,Buurt,1069907,9487,10,2.3,11.0,,,,,,,2960.0,2010.0,,0.0,0.5,,2.0,21.0
Ter Aard,Assen,Buurt,1069908,9487,30,2.8,441.0,,100.0,86.0,0.0,10.0,0.0,3460.0,2160.0,1.8333333333333333,1.25,0.3333333333333333,,2.2,167.0
Zeijerveld,Assen,Buurt,1069909,9488,35,2.7,17.0,,100.0,95.0,0.0,5.0,5.0,4780.0,2190.0,2.111111111111111,1.0,0.5714285714285714,,3.1,11.0
Bos en Golf,Assen,Buurt,1069910,9489,10,2.4,11.0,,,,,,,5160.0,2980.0,,0.0,1.0,,2.4,406.0
Verspreide huizen Witten,Assen,Buurt,1069911,9405,55,2.1,8.0,,100.0,34.0,0.0,66.0,7.0,4170.0,1970.0,1.75,0.8,0.2727272727272727,1.0,1.8,145.0
Witten,Assen,Buurt,1069912,9405,25,2.4,300.0,,100.0,96.0,0.0,0.0,7.0,3540.0,2330.0,2.0,1.5384615384615385,0.6,,1.4,161.0
Graswijkbuurt,Assen,Buurt,1069913,9405,35,2.0,32.0,,100.0,63.0,0.0,37.0,10.0,3250.0,2550.0,1.8571428571428572,1.3333333333333333,0.2857142857142857,,3.6,12.0
Verspreide huizen Anreep,Assen,Buurt,1069914,9404,5,2.5,4.0,,,,,,,,,,0.0,0.0,,2.5,115.0
Anreep/Schieven,Assen,Buurt,1069915,9404,15,2.6,228.0,,57.0,54.0,43.0,4.0,46.0,4240.0,2520.0,2.2,0.0,0.3333333333333333,,2.0,258.0
Verspreide huizen Schieven,Assen,Buurt,1069916,9404,15,3.2,41.0,,57.0,53.0,0.0,47.0,10.0,3480.0,1930.0,,0.0,0.6666666666666666,,1.0,459.0
Natuurgebied Amelte,Assen,Buurt,1069917,9404,1,2.0,,,,,,,,,,,0.0,0.0,,,293.0
Borger,Borger-Odoorn,Buurt,16810000,9531,2180,2.1,1613.0,195.0,86.0,66.0,28.0,6.0,15.0,2710.0,1540.0,2.0,0.8441558441558441,0.15137614678899083,1.2,0.9,544.0
Westdorp,Borger-Odoorn,Buurt,16810001,9534,30,2.2,175.0,,100.0,85.0,3.0,12.0,9.0,3310.0,2730.0,2.2857142857142856,1.3333333333333333,0.5,,2.9,14.0
Verspreide huizen Ellertshaar,Borger-Odoorn,Buurt,16810007,9535,10,2.5,34.0,,,,,,,3130.0,2270.0,,0.0,0.5,,5.4,4.0
Verspreide huizen Westdorp,Borger-Odoorn,Buurt,16810008,9534,15,2.8,7.0,,100.0,80.0,0.0,20.0,10.0,5180.0,2420.0,,0.0,1.0,,4.0,8.0
Verspreide huizen Borger,Borger-Odoorn,Buurt,16810009,9531,45,2.9,11.0,,100.0,82.0,0.0,18.0,16.0,4530.0,3710.0,1.9090909090909092,0.7142857142857143,0.6666666666666666,,3.4,230.0
Buinen,Borger-Odoorn,Buurt,16810100,9528,295,2.5,636.0,231.0,96.0,87.0,5.0,9.0,8.0,3650.0,1950.0,2.05,0.8053691275167785,0.2542372881355932,1.6,3.3,94.0
Verspreide huizen Buinen,Borger-Odoorn,Buurt,16810109,9528,30,1.8,4.0,,100.0,78.0,19.0,3.0,9.0,3190.0,1810.0,1.8,1.8181818181818181,0.3333333333333333,,3.8,57.0
Bronneger,Borger-Odoorn,Buurt,16810200,9527,45,2.4,265.0,,100.0,96.0,0.0,4.0,4.0,3480.0,2240.0,,0.8695652173913043,0.4444444444444444,,2.0,18.0
Verspreide huizen Bronneger,Borger-Odoorn,Buurt,16810209,9531,1,4.0,,,,,,,,,,,0.0,0.0,,,43.0
Drouwen,Borger-Odoorn,Buurt,16810300,9533,185,2.4,620.0,284.0,97.0,91.0,5.0,4.0,16.0,3630.0,1920.0,2.2222222222222223,0.8791208791208791,0.2972972972972973,1.6,0.4,105.0
Verspreide huizen Drouwen,Borger-Odoorn,Buurt,16810309,9533,45,1.9,7.0,,100.0,69.0,0.0,30.0,15.0,1330.0,980.0,2.0,1.0526315789473684,0.4444444444444444,,1.1,104.0
Verspreide huizen Bronnegerveen,Borger-Odoorn,Buurt,16810409,9526,30,2.3,11.0,,100.0,97.0,0.0,3.0,3.0,4290.0,2280.0,2.0,1.25,0.5,,3.1,13.0
Drouwenerveen,Borger-Odoorn,Buurt,16810500,9525,95,2.5,199.0,228.0,100.0,93.0,2.0,5.0,13.0,3470.0,2110.0,,0.8,0.42105263157894735,1.6,3.2,39.0
Verspreide huizen Drouwenerveen,Borger-Odoorn,Buurt,16810509,9525,5,3.0,14.0,,,,,,,,,,0.0,1.0,,3.3,14.0
Drouwenermond,Borger-Odoorn,Buurt,16810600,9523,210,2.5,333.0,185.0,99.0,92.0,5.0,4.0,3.0,3490.0,2030.0,,0.7407407407407407,0.2619047619047619,1.6,2.5,247.0
Verspreide huizen Drouwenermond,Borger-Odoorn,Buurt,16810609,9523,10,3.1,3.0,,,,,,,4490.0,1820.0,,0.0,0.5,,2.7,114.0
Nieuw-Buinen,Borger-Odoorn,Buurt,16810700,9521,2060,2.3,1022.0,152.0,90.0,64.0,32.0,4.0,11.0,3090.0,1640.0,1.7650273224043715,0.8050847457627118,0.16747572815533981,1.4,1.0,413.0
Verspreide huizen Nieuw-Buinen,Borger-Odoorn,Buurt,16810709,9521,30,3.1,6.0,,100.0,100.0,0.0,0.0,100.0,4150.0,1740.0,2.25,0.9090909090909091,0.3333333333333333,,1.6,305.0
Buinerveen,Borger-Odoorn,Buurt,16810800,9524,165,2.5,365.0,209.0,99.0,98.0,1.0,2.0,7.0,3560.0,2150.0,,0.7058823529411765,0.2727272727272727,1.7,0.9,47.0
Verspreide huizen Buinerveen,Borger-Odoorn,Buurt,16810809,9524,1,3.0,,,,,,,,,,,0.0,0.0,,,11.0
Ees,Borger-Odoorn,Buurt,16810900,9536,140,2.1,484.0,267.0,96.0,87.0,10.0,3.0,6.0,3370.0,2180.0,2.260869565217391,0.9836065573770492,0.25,1.4,0.6,142.0
Eesergroen,Borger-Odoorn,Buurt,16810901,9537,35,2.5,189.0,,100.0,97.0,0.0,3.0,14.0,4080.0,2350.0,2.0,1.1111111111111112,0.42857142857142855,,2.7,16.0
Verspreide huizen Eeserveen,Borger-Odoorn,Buurt,16810907,7858,60,2.3,24.0,,98.0,85.0,0.0,14.0,8.0,2470.0,1710.0,1.9166666666666667,0.6666666666666666,0.4166666666666667,1.6,2.1,21.0
Verspreide huizen Eesergroen,Borger-Odoorn,Buurt,16810908,9537,35,2.1,14.0,,100.0,100.0,0.0,0.0,0.0,4520.0,2850.0,2.0,1.25,0.42857142857142855,,2.3,15.0
Verspreide huizen Ees,Borger-Odoorn,Buurt,16810909,9536,10,2.2,4.0,,99.0,52.0,0.0,48.0,73.0,3300.0,1910.0,1.0,0.0,1.0,,1.6,125.0
Odoorn,Borger-Odoorn,Buurt,16811000,7873,805,2.2,926.0,213.0,91.0,72.0,18.0,10.0,16.0,2900.0,1720.0,,0.7957559681697612,0.16149068322981366,1.3,0.8,243.0
Verspreide huizen Odoorn,Borger-Odoorn,Buurt,16811009,7873,10,2.3,2.0,,,,,,,4390.0,2630.0,,0.0,0.5,,3.3,10.0
Exloo,Borger-Odoorn,Buurt,16811100,7875,705,2.2,732.0,240.0,94.0,80.0,16.0,5.0,6.0,3170.0,1930.0,1.990909090909091,0.8441558441558441,0.2127659574468085,1.3,0.6,218.0
Verspreide huizen Exloo,Borger-Odoorn,Buurt,16811109,7875,60,1.8,7.0,,98.0,65.0,0.0,35.0,74.0,2470.0,1250.0,2.1,0.8695652173913043,0.4166666666666667,1.4,2.8,69.0
Valthe,Borger-Odoorn,Buurt,16811200,7872,455,2.3,766.0,208.0,95.0,76.0,22.0,2.0,18.0,2880.0,1690.0,2.0595238095238093,0.861244019138756,0.15384615384615385,1.4,0.5,133.0
Verspreide huizen Valthe,Borger-Odoorn,Buurt,16811209,7872,65,2.3,17.0,288.0,100.0,94.0,0.0,6.0,4.0,3740.0,2270.0,2.0,0.6451612903225806,0.3076923076923077,1.7,1.7,61.0
Klijndijk,Borger-Odoorn,Buurt,16811300,7871,310,2.3,481.0,206.0,98.0,82.0,15.0,3.0,12.0,3150.0,1700.0,2.0526315789473686,0.8571428571428571,0.22580645161290322,1.5,3.0,104.0
Verspreide huizen Klijndijk,Borger-Odoorn,Buurt,16811309,7874,30,2.2,11.0,,100.0,100.0,0.0,0.0,17.0,4020.0,2420.0,,1.5384615384615385,0.3333333333333333,,3.9,42.0
Odoornerveen,Borger-Odoorn,Buurt,16811400,7874,130,2.4,173.0,268.0,100.0,91.0,1.0,8.0,9.0,3840.0,2200.0,2.125,0.9523809523809523,0.34615384615384615,1.7,3.0,32.0
Verspreide huizen Odoornerveen,Borger-Odoorn,Buurt,16811409,7874,20,2.7,6.0,,100.0,85.0,4.0,11.0,26.0,2870.0,1650.0,2.1666666666666665,0.0,0.5,,3.2,11.0
Tweede Exloërmond,Borger-Odoorn,Buurt,16811500,9571,985,2.3,628.0,159.0,95.0,72.0,24.0,4.0,12.0,3140.0,1730.0,1.6629213483146068,0.7708779443254818,0.2131979695431472,1.4,1.2,130.0
Eerste Exloërmond,Borger-Odoorn,Buurt,16811501,9573,145,2.4,157.0,191.0,99.0,83.0,8.0,8.0,6.0,3590.0,2010.0,2.0,0.8333333333333334,0.3103448275862069,1.7,3.0,25.0
Exloërveen,Borger-Odoorn,Buurt,16811502,9574,25,2.2,65.0,,100.0,88.0,0.0,13.0,13.0,4860.0,2240.0,2.2,1.8181818181818181,0.6,,2.4,35.0
Verspreide huizen Tweede Exloërmond,Borger-Odoorn,Buurt,16811509,9574,15,2.6,1.0,,,,,,,3000.0,2380.0,,0.0,0.3333333333333333,,3.1,40.0
Valthermond,Borger-Odoorn,Buurt,16811600,7876,1440,2.3,568.0,161.0,95.0,73.0,22.0,5.0,8.0,3150.0,1770.0,1.7777777777777777,0.8169440242057489,0.1840277777777778,1.4,1.8,110.0
Zandberg,Borger-Odoorn,Buurt,16811601,9564,25,1.9,92.0,,100.0,45.0,45.0,6.0,0.0,2510.0,1730.0,1.75,1.8181818181818181,0.2,,0.6,136.0
Tweede Valthermond,Borger-Odoorn,Buurt,16811602,7877,20,2.3,58.0,,100.0,95.0,0.0,5.0,18.0,3940.0,2140.0,1.5,0.0,0.5,,3.6,66.0
Verspreide huizen Valthermond,Borger-Odoorn,Buurt,16811609,7877,30,2.7,3.0,,100.0,90.0,0.0,10.0,13.0,3910.0,2250.0,2.0,1.25,0.5,,2.2,55.0
Coevorden-Centrum,Coevorden,Buurt,1091000,7741,1340,1.6,3949.0,131.0,37.0,39.0,47.0,13.0,8.0,2110.0,1150.0,1.8101265822784811,0.8755760368663594,0.17537313432835822,0.8,0.4,1216.0
Lootuinen,Coevorden,Buurt,1091001,7741,580,2.4,2059.0,135.0,100.0,48.0,51.0,1.0,0.0,2570.0,1420.0,1.64,0.704225352112676,0.07758620689655173,1.1,0.7,1085.0
Poppenhare,Coevorden,Buurt,1091002,7741,580,2.1,3507.0,106.0,57.0,32.0,63.0,5.0,11.0,2410.0,1140.0,1.5176470588235293,0.7058823529411765,0.05172413793103448,0.8,0.3,1083.0
Binnenvree Buitenvree Pikveld,Coevorden,Buurt,1091003,7742,1325,2.3,3095.0,147.0,89.0,65.0,22.0,13.0,9.0,2730.0,1310.0,1.8064516129032258,0.7817589576547231,0.06792452830188679,1.1,0.5,1093.0
De Heege,Coevorden,Buurt,1091004,7742,880,2.3,2948.0,179.0,84.0,62.0,30.0,8.0,28.0,2720.0,1230.0,1.8940397350993377,0.8333333333333334,0.09090909090909091,1.1,1.4,880.0
Klooster,Coevorden,Buurt,1091006,7741,55,2.5,172.0,393.0,100.0,98.0,2.0,0.0,8.0,4620.0,2390.0,1.9166666666666667,0.6451612903225806,0.45454545454545453,1.7,2.2,75.0
Ballast,Coevorden,Buurt,1091007,7741,685,2.4,2665.0,162.0,99.0,86.0,10.0,4.0,0.0,2980.0,1280.0,1.8345864661654134,0.790273556231003,0.08029197080291971,1.3,1.4,637.0
De Loo,Coevorden,Buurt,1091008,7741,540,2.3,2479.0,151.0,100.0,53.0,47.0,1.0,25.0,2620.0,1350.0,1.694736842105263,0.7936507936507936,0.09259259259259259,1.1,1.2,776.0
Verspreide huizen Coevorden,Coevorden,Buurt,1091009,7742,25,2.4,14.0,,93.0,86.0,0.0,14.0,14.0,4760.0,2370.0,2.2,1.5384615384615385,0.8,,2.9,62.0
Holwert,Coevorden,Buurt,1091010,7741,10,1.4,39.0,,,,,,,1650.0,740.0,,0.0,3.0,,0.9,1036.0
Hare,Coevorden,Buurt,1091011,7741,45,2.5,166.0,,89.0,89.0,0.0,6.0,13.0,3940.0,2040.0,1.8181818181818181,0.9090909090909091,2.5555555555555554,,1.4,386.0
Leeuwerikenveld,Coevorden,Buurt,1091012,7741,25,2.7,77.0,,82.0,79.0,0.0,21.0,7.0,4200.0,3130.0,,1.5384615384615385,3.6,,1.6,513.0
De Heege en De Mars,Coevorden,Buurt,1091013,7742,1,4.0,,,,,,,,,,,0.0,25.0,,,93.0
Klinkenvlier,Coevorden,Buurt,1091014,7742,60,2.4,331.0,454.0,100.0,98.0,0.0,2.0,81.0,5000.0,2200.0,2.727272727272727,0.6896551724137931,0.25,1.7,1.9,218.0
Ossehaar,Coevorden,Buurt,1091015,7742,295,3.1,1579.0,235.0,100.0,97.0,0.0,3.0,100.0,3670.0,1290.0,2.0714285714285716,0.7608695652173914,0.15254237288135594,1.4,2.6,531.0
Steenwijksmoer,Coevorden,Buurt,1091116,7741,250,2.4,513.0,195.0,97.0,86.0,12.0,2.0,11.0,3340.0,1650.0,1.8775510204081634,0.847457627118644,0.16,1.4,0.5,78.0
Verspreide huizen Steenwijksmoer,Coevorden,Buurt,1091117,7741,120,2.8,38.0,284.0,95.0,93.0,0.0,8.0,4.0,4160.0,2210.0,1.8571428571428572,0.9090909090909091,0.375,1.7,2.1,48.0
Nieuwe Krim,Coevorden,Buurt,1091218,7741,60,3.0,399.0,226.0,100.0,94.0,0.0,6.0,5.0,3910.0,1960.0,,0.5405405405405406,0.5,1.6,1.3,42.0
Verspreide huizen Nieuwe Krim,Coevorden,Buurt,1091219,7741,1,3.3,3.0,,,,,,,,,,0.0,0.0,,2.0,37.0
Verspreide huizen Weijerswold,Coevorden,Buurt,1091320,7742,30,2.5,21.0,,100.0,90.0,0.0,10.0,10.0,4430.0,2030.0,2.2,1.3333333333333333,0.6666666666666666,,4.2,8.0
Verspreide huizen Vlieghuis en Padhuis,Coevorden,Buurt,1091421,7742,45,2.4,18.0,,100.0,93.0,0.0,7.0,12.0,4300.0,2820.0,2.111111111111111,0.8695652173913043,0.4444444444444444,,2.6,12.0
Dalen,Coevorden,Buurt,1092022,7751,1465,2.3,1288.0,227.0,87.0,77.0,17.0,6.0,6.0,3150.0,1660.0,2.037344398340249,0.8157099697885196,0.18088737201365188,1.4,0.7,392.0
Verspreide huizen Dalen,Coevorden,Buurt,1092023,7751,150,2.7,21.0,312.0,96.0,89.0,0.0,11.0,9.0,4350.0,2150.0,1.878787878787879,0.7407407407407407,0.5,1.6,2.2,179.0
Wachtum,Coevorden,Buurt,1092024,7754,110,2.5,331.0,279.0,100.0,91.0,3.0,5.0,6.0,3960.0,2200.0,2.25,0.7272727272727273,0.2727272727272727,1.7,0.4,39.0
Verspreide huizen Wachtum,Coevorden,Buurt,1092025,7754,35,3.1,10.0,,100.0,76.0,0.0,24.0,16.0,3790.0,2350.0,1.625,0.8695652173913043,0.7142857142857143,,2.5,14.0
Dalerpeel,Coevorden,Buurt,1092026,7753,245,2.5,567.0,174.0,99.0,75.0,24.0,1.0,11.0,3280.0,1610.0,1.6595744680851063,0.8264462809917356,0.14285714285714285,1.4,0.4,72.0
Verspreide huizen Dalerpeel,Coevorden,Buurt,1092027,7751,95,2.7,19.0,286.0,96.0,91.0,0.0,9.0,6.0,3900.0,2150.0,1.9473684210526316,0.8,0.3684210526315789,1.5,2.7,26.0
Dalerveen,Coevorden,Buurt,1092028,7755,120,2.6,396.0,258.0,97.0,93.0,3.0,4.0,13.0,4270.0,1910.0,1.9230769230769231,0.6349206349206349,0.3333333333333333,1.7,0.8,34.0
Verspreide huizen Dalerveen,Coevorden,Buurt,1092029,7755,20,2.1,5.0,,95.0,86.0,0.0,14.0,14.0,4320.0,2780.0,2.25,0.0,0.5,,1.6,19.0
Stieltjeskanaal,Coevorden,Buurt,1092030,7756,65,2.7,136.0,272.0,97.0,96.0,1.0,3.0,3.0,4010.0,2140.0,1.8666666666666667,0.5405405405405406,0.38461538461538464,1.4,2.5,14.0
Verspreide huizen Stieltjeskanaal,Coevorden,Buurt,1092031,7756,30,2.8,16.0,,92.0,100.0,0.0,0.0,19.0,4960.0,2160.0,1.8333333333333333,1.25,0.5,,2.8,154.0
Oosterhesselen,Coevorden,Buurt,1093032,7861,800,2.1,1026.0,211.0,91.0,77.0,19.0,4.0,5.0,2930.0,1710.0,2.098360655737705,0.8259587020648967,0.1375,1.3,0.8,247.0
