WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;MeestVoorkomendePostcode_113;HuishoudensTotaal_28;GemiddeldeHuishoudensgrootte_32;Bevolkingsdichtheid_33;GemiddeldeWOZWaardeVanWoningen_35;PercentageEengezinswoning_36;Koopwoningen_40;InBezitWoningcorporatie_42;InBezitOverigeVerhuurders_43;BouwjaarVanaf2000_46;GemiddeldAardgasverbruikTotaal_55;Gemiddeld_opleidingsniveau;Percent_inkomensontvangers;Bedrijfsvestigingen_per_huishuidens;PersonenautoSPerHuishouden_102;AfstandTotSchool_108;Omgevingsadressendichtheid_116
Architectenbuurt-Oost;Amersfoort;Buurt;3072004;3822;655;2,5;8614,0;325,0;98,0;77,0;12,0;10,0;0,0;;2,253731343283582;;0,16793893129770993;1,1;0,5;2329,0
Architectenbuurt-West;Amersfoort;Buurt;3072005;3822;540;2,5;7249,0;346,0;85,0;94,0;4,0;2,0;2,0;;2,385321100917431;;0,18518518518518517;1,1;0,9;2428,0
Sportpark Zielhorst;Amersfoort;Buurt;3072006;3822;1;;;;;;;;;;;;5,0;;;1576,0
Stille Steeg;Amersfoort;Buurt;3072100;3823;650;2,3;11535,0;255,0;79,0;59,0;41,0;1,0;0,0;;2,121739130434783;;0,13846153846153847;0,9;0,4;2440,0
Amaniet;Amersfoort;Buurt;3072101;3823;305;2,0;6436,0;293,0;66,0;47,0;51,0;1,0;0,0;;2,0851063829787235;;0,11475409836065574;0,8;0,4;2422,0
Woudzoom;Amersfoort;Buurt;3072102;3823;555;2,4;7840,0;359,0;82,0;66,0;9,0;25,0;0,0;;2,298076923076923;;0,24324324324324326;1,1;0,4;2244,0
Gesloten Stad;Amersfoort;Buurt;3072103;3823;395;2,3;7845,0;271,0;66,0;65,0;30,0;5,0;2,0;;2,282051282051282;;0,21518987341772153;1,0;0,4;2221,0
De Verwondering;Amersfoort;Buurt;3072104;3823;430;2,5;7250,0;299,0;95,0;81,0;13,0;6,0;0,0;;2,1686746987951806;;0,19767441860465115;1,1;0,2;2156,0
Emiclaer;Amersfoort;Buurt;3072105;3823;385;1,9;5771,0;277,0;38,0;83,0;4,0;13,0;1,0;;2,193548387096774;;0,33766233766233766;1,0;0,7;2353,0
Groote Kreek;Amersfoort;Buurt;3072106;3823;570;2,3;9102,0;289,0;80,0;64,0;30,0;6,0;0,0;;2,3333333333333335;;0,15789473684210525;1,0;0,4;2154,0
Het Hallehuis;Amersfoort;Buurt;3072107;3823;615;2,5;5251,0;286,0;84,0;59,0;38,0;3,0;0,0;;2,066666666666667;;0,14634146341463414;1,1;0,9;1933,0
De Horizon;Amersfoort;Buurt;3072108;3823;690;2,5;6527,0;325,0;88,0;70,0;15,0;15,0;0,0;;2,257142857142857;;0,2391304347826087;1,1;0,5;1925,0
Calveen;Amersfoort;Buurt;3072201;3824;55;2,7;238,0;508,0;80,0;94,0;0,0;6,0;31,0;;2,3333333333333335;;6,7272727272727275;;1,2;1459,0
Park Schothorst-Zuid;Amersfoort;Buurt;3072300;3822;25;2,0;96,0;552,0;96,0;62,0;31,0;8,0;0,0;;;;0,8;;0,6;2085,0
Park Schothorst-Noord;Amersfoort;Buurt;3072301;3828;1;5,0;;;;;;;;;;;0,0;;;1948,0
Stadskwartier;Amersfoort;Buurt;3072400;3824;1145;2,7;8786,0;302,0;88,0;75,0;22,0;2,0;1,0;;2,190871369294606;;0,1615720524017467;1,2;0,6;2055,0
Hoge Hoven;Amersfoort;Buurt;3072402;3824;820;3,0;6987,0;345,0;96,0;86,0;9,0;5,0;0,0;;2,1881720430107525;;0,21951219512195122;1,2;0,4;1932,0
Centrum-Wat;Amersfoort;Buurt;3072403;3824;605;2,1;8090,0;280,0;41,0;76,0;20,0;4,0;28,0;;2,0652173913043477;;0,2231404958677686;1,0;0,4;1970,0
Stadstuin;Amersfoort;Buurt;3072404;3824;770;2,0;4663,0;257,0;21,0;77,0;16,0;7,0;100,0;;2,1666666666666665;;0,18181818181818182;1,1;1,1;1157,0
Waterkwartier;Amersfoort;Buurt;3072405;3824;1190;2,7;9770,0;292,0;87,0;76,0;21,0;3,0;10,0;;2,059055118110236;;0,19327731092436976;1,2;0,6;1557,0
Lage Hoven;Amersfoort;Buurt;3072407;3824;1100;2,8;6669,0;308,0;87,0;81,0;14,0;5,0;4,0;;2,175213675213675;;0,20909090909090908;1,2;0,6;1604,0
De Hoef-West;Amersfoort;Buurt;3072500;3821;190;1,1;425,0;131,0;3,0;1,0;0,0;99,0;1,0;;;;1,0263157894736843;1,2;1,1;1880,0
De Hoef-Oost;Amersfoort;Buurt;3072501;3821;1;;;;;;;;;;;;260,0;;;1127,0
De Wieken;Amersfoort;Buurt;3072502;3815;10;1,7;34,0;;;;;;;;;;15,0;;2,0;482,0
Vinkenhoef;Amersfoort;Buurt;3072503;3821;25;2,1;95,0;347,0;84,0;68,0;0,0;32,0;0,0;;;;0,4;;1,8;294,0
Nijkerkerstraat;Amersfoort;Buurt;3072504;3821;30;2,2;101,0;441,0;97,0;68,0;0,0;32,0;3,0;;1,8333333333333333;;0,8333333333333334;;1,4;303,0
Bedrijventerrein Vathorst-Zuid;Amersfoort;Buurt;3072505;3825;1;;;;;;;;;;;;15,0;;;639,0
Podium;Amersfoort;Buurt;3072506;3826;1;9,0;;;;;;;;;;;10,0;;;1130,0
Bedrijventerrein Vathorst-Noord;Amersfoort;Buurt;3072507;3825;1;;;;;;;;;;;;45,0;;;1691,0
De Brand;Amersfoort;Buurt;3072508;3823;1;1,0;;;;;;;;;;;55,0;;;2004,0
Dorpskern Hooglanderveen;Amersfoort;Buurt;3072600;3829;620;2,3;5092,0;321,0;78,0;64,0;30,0;7,0;10,0;;2,027027027027027;;0,1693548387096774;1,1;0,6;1167,0
Lient;Amersfoort;Buurt;3072601;3829;715;3,1;7140,0;425,0;94,0;89,0;8,0;3,0;100,0;;2,3443708609271523;;0,23776223776223776;1,2;0,5;963,0
Hoekveen;Amersfoort;Buurt;3072602;3829;300;2,7;5235,0;407,0;67,0;66,0;15,0;20,0;99,0;;2,2666666666666666;;0,25;1,1;1,0;1217,0
Heideweg;Amersfoort;Buurt;3072603;3829;105;2,8;1002,0;508,0;100,0;91,0;4,0;6,0;29,0;;2,272727272727273;;0,42857142857142855;1,5;1,2;1449,0
Coelhorst;Amersfoort;Buurt;3072700;3828;40;2,8;91,0;561,0;93,0;78,0;0,0;22,0;10,0;;2,111111111111111;;0,375;;1,4;530,0
Zeldert;Amersfoort;Buurt;3072701;3828;130;2,9;36,0;636,0;94,0;80,0;0,0;20,0;12,0;;1,9;;0,6538461538461539;1,6;2,2;328,0
Maatweg;Amersfoort;Buurt;3072709;3813;15;2,4;114,0;;;;;;;;2,0;;1,3333333333333333;;1,2;1572,0
Leersumseberg;Amersfoort;Buurt;3072800;3825;650;3,0;5924,0;354,0;95,0;81,0;17,0;2,0;99,0;;2,1862068965517243;;0,26153846153846155;1,2;0,9;1392,0
Emminkhuizerberg;Amersfoort;Buurt;3072801;3825;305;2,9;5947,0;398,0;91,0;72,0;25,0;3,0;99,0;;2,1363636363636362;;0,32786885245901637;1,6;0,6;1440,0
Sprengenberg;Amersfoort;Buurt;3072802;3825;745;2,9;6987,0;351,0;87,0;62,0;34,0;4,0;100,0;;2,157232704402516;;0,21476510067114093;1,2;0,6;1783,0
Duisterweg;Amersfoort;Buurt;3072803;3825;390;3,1;6153,0;423,0;90,0;91,0;5,0;3,0;99,0;;2,3636363636363638;;0,2564102564102564;1,1;0,8;1717,0
Cycladen;Amersfoort;Buurt;3072804;3825;230;2,7;4512,0;374,0;68,0;80,0;12,0;8,0;100,0;;;;0,2826086956521739;1,2;1,1;1636,0
Reinier;Amersfoort;Buurt;3072805;3825;1;;;;;;;;;;;;5,0;;;1156,0
Lindeboomseweg;Amersfoort;Buurt;3072806;3825;1;2,0;;;;;;;;;;;5,0;;;953,0
Roevoeterstraat;Amersfoort;Buurt;3072900;3825;650;3,1;8072,0;386,0;95,0;73,0;21,0;6,0;99,0;;2,2152777777777777;;0,2;1,2;0,4;2099,0
Winkelcentrum;Amersfoort;Buurt;3072901;3825;210;1,8;3003,0;225,0;1,0;0,0;4,0;89,0;100,0;;2,1944444444444446;;0,40476190476190477;0,9;0,4;1892,0
Damespolder;Amersfoort;Buurt;3072902;3825;370;3,2;8414,0;400,0;95,0;84,0;13,0;3,0;100,0;;2,2941176470588234;;0,28378378378378377;1,2;0,6;1987,0
De Bron Noord;Amersfoort;Buurt;3073000;3825;565;2,9;8166,0;377,0;90,0;81,0;3,0;15,0;100,0;;2,4324324324324325;;0,23893805309734514;1,3;0,7;1957,0
De Bron Zuid;Amersfoort;Buurt;3073001;3825;790;2,9;8679,0;349,0;78,0;67,0;15,0;18,0;100,0;;2,329113924050633;;0,15822784810126583;0,9;0,7;1808,0
De Laak Oost;Amersfoort;Buurt;3073100;3826;1;;;;;;;;;;;;0,0;;;1190,0
Hoornplantsoen;Amersfoort;Buurt;3073101;3826;1030;2,5;11360,0;323,0;60,0;57,0;39,0;4,0;100,0;;2,3105263157894735;;0,23300970873786409;1,1;0,6;1356,0
Muidenkade;Amersfoort;Buurt;3073102;3826;555;2,9;10402,0;386,0;94,0;95,0;0,0;5,0;100,0;;2,4285714285714284;;0,2882882882882883;0,9;0,6;1678,0
Hogesteeg;Amersfoort;Buurt;3073103;3826;1160;2,5;4018,0;319,0;56,0;50,0;38,0;12,0;100,0;;2,1872146118721463;;0,15086206896551724;0,9;0,4;1348,0
Vathorst-West;Amersfoort;Buurt;3073104;.;1;;;;;;;;;;;;0,0;;;
Vathorst-Noord;Amersfoort;Buurt;3073108;3829;20;2,2;34,0;581,0;100,0;25,0;21,0;54,0;12,0;;1,3333333333333333;;0,25;;2,0;647,0
Randwijck West;Amstelveen;Buurt;3620101;1181;845;2,6;6944,0;661,0;83,0;84,0;0,0;16,0;2,0;;2,4873417721518987;;0,41420118343195267;1,0;0,4;2265,0
Randwijck Oost;Amstelveen;Buurt;3620102;1181;1735;2,1;7947,0;442,0;44,0;63,0;0,0;36,0;0,0;;2,4037735849056605;;0,22478386167146974;0,7;0,3;3051,0
Oranjebuurt;Amstelveen;Buurt;3620201;1182;335;2,6;2026,0;973,0;73,0;87,0;0,0;13,0;10,0;;2,5161290322580645;;0,373134328358209;1,2;1,0;1455,0
Patrimonium;Amstelveen;Buurt;3620202;1182;1065;2,1;4560,0;462,0;72,0;34,0;54,0;12,0;2,0;;2,224242424242424;;0,2676056338028169;0,9;0,8;1470,0
Elsrijk West;Amstelveen;Buurt;3620301;1181;1340;2,6;7017,0;654,0;82,0;71,0;11,0;17,0;1,0;;2,4008438818565403;;0,291044776119403;1,1;0,7;2806,0
Kruiskerkbuurt;Amstelveen;Buurt;3620302;1181;915;2,6;6424,0;695,0;74,0;72,0;18,0;10,0;4,0;;2,2195121951219514;;0,2896174863387978;1,1;0,6;3351,0
Vredeveldbuurt;Amstelveen;Buurt;3620303;1181;835;2,1;6626,0;394,0;34,0;54,0;17,0;28,0;3,0;;2,4424778761061945;;0,16766467065868262;0,5;0,5;3309,0
Elsrijk Oost;Amstelveen;Buurt;3620304;1181;1735;2,2;7650,0;435,0;41,0;55,0;25,0;20,0;3,0;;2,5328185328185326;;0,16138328530259366;0,8;0,4;3694,0
Stadshart;Amstelveen;Buurt;3620401;1181;1685;2,0;5963,0;440,0;12,0;55,0;5,0;40,0;10,0;;2,3654618473895583;;0,37091988130563797;0,7;0,7;3680,0
Uilenstede;Amstelveen;Buurt;3620501;1183;3195;1,1;17205,0;210,0;1,0;0,0;100,0;0,0;56,0;;2,5165165165165164;;0,06885758998435054;0,1;0,9;3266,0
Kronenburg;Amstelveen;Buurt;3620502;1183;25;1,2;133,0;;;;;;;;;;13,4;;0,7;2536,0
Heldenbuurt;Amstelveen;Buurt;3620601;1183;1390;2,1;6823,0;391,0;47,0;46,0;41,0;12,0;8,0;;2,2009132420091326;;0,18345323741007194;0,8;0,6;2568,0
Zeestratenbuurt;Amstelveen;Buurt;3620602;1183;930;2,2;6321,0;484,0;55,0;59,0;23,0;18,0;15,0;;2,4726027397260273;;0,1881720430107527;0,9;0,5;2864,0
Boekenbuurt;Amstelveen;Buurt;3620603;1183;1430;1,8;5387,0;340,0;24,0;40,0;24,0;35,0;21,0;;2,27807486631016;;0,11888111888111888;0,8;0,5;2758,0
Operabuurt;Amstelveen;Buurt;3620604;1183;1050;2,2;6254,0;338,0;43,0;29,0;53,0;18,0;0,0;;1,9642857142857142;;0,14285714285714285;0,7;0,9;2636,0
Middelpolder;Amstelveen;Buurt;3620701;1183;145;2,5;104,0;1457,0;93,0;82,0;0,0;18,0;17,0;;2,3214285714285716;;0,7241379310344828;1,7;1,8;432,0
Buurt over Ouderkerk;Amstelveen;Buurt;3620702;1184;170;2,5;1100,0;711,0;96,0;75,0;9,0;16,0;13,0;;2,3125;;0,5588235294117647;1,3;1,4;619,0
Oude Dorp;Amstelveen;Buurt;3620801;1182;315;2,0;2676,0;410,0;43,0;57,0;28,0;15,0;5,0;;2,28;;0,49206349206349204;1,1;0,7;2153,0
Kastanjebuurt;Amstelveen;Buurt;3620802;1185;960;2,4;4829,0;511,0;68,0;64,0;26,0;9,0;8,0;;2,5;;0,22395833333333334;1,0;0,6;2569,0
Van der Leekbuurt;Amstelveen;Buurt;3620803;1185;970;2,2;4258,0;;56,0;35,0;29,0;36,0;1,0;;2,107594936708861;;0,2268041237113402;;0,4;3504,0
Populierenbuurt;Amstelveen;Buurt;3620804;1185;1790;1,9;6623,0;315,0;28,0;38,0;39,0;23,0;14,0;;2,028;;0,15921787709497207;0,7;0,8;2551,0
Augustinuspark;Amstelveen;Buurt;3620805;1185;1630;1,9;7945,0;295,0;16,0;31,0;45,0;23,0;6,0;;2,1238938053097347;;0,11349693251533742;0,5;0,4;3427,0
Startbaanbuurt;Amstelveen;Buurt;3620806;1185;350;2,0;992,0;;17,0;40,0;12,0;47,0;84,0;;2,297872340425532;;0,2714285714285714;1,0;1,2;2266,0
Langerhuize;Amstelveen;Buurt;3620901;1186;705;1,7;3244,0;313,0;0,0;9,0;15,0;76,0;72,0;;2,188888888888889;;0,3333333333333333;0,6;1,1;3285,0
Alpen Rondwegbuurt;Amstelveen;Buurt;3620902;1186;740;2,2;11647,0;337,0;33,0;16,0;76,0;9,0;0,0;;1,9009009009009008;;0,1554054054054054;0,8;0,8;2880,0
In de Wolkenbuurt;Amstelveen;Buurt;3620903;1186;575;1,8;6926,0;307,0;32,0;34,0;42,0;24,0;20,0;;2,0933333333333333;;0,16521739130434782;0,6;0,3;2608,0
Watercirkelbuurt;Amstelveen;Buurt;3620904;1186;1150;1,8;7659,0;324,0;32,0;20,0;60,0;19,0;0,0;;2,076388888888889;;0,11739130434782609;0,7;0,9;2944,0
Kringloopbuurt;Amstelveen;Buurt;3620905;1186;1115;1,8;6108,0;333,0;25,0;25,0;28,0;46,0;0,0;;2,328358208955224;;0,13452914798206278;0,7;0,5;2332,0
Beroepenbuurt;Amstelveen;Buurt;3621001;1188;660;2,3;5842,0;397,0;84,0;64,0;8,0;28,0;0,0;;2,2903225806451615;;0,19696969696969696;1,2;0,8;2249,0
Hemellichamenbuurt;Amstelveen;Buurt;3621002;1188;1340;2,0;6533,0;322,0;45,0;35,0;51,0;14,0;0,0;;1,8686868686868687;;0,13059701492537312;0,8;0,3;2279,0
Punterbuurt;Amstelveen;Buurt;3621003;1186;1365;2,1;7894,0;358,0;58,0;45,0;45,0;9,0;0,0;;2,13265306122449;;0,1391941391941392;0,9;1,1;2398,0
Molenbuurt;Amstelveen;Buurt;3621004;1188;1315;2,2;6228,0;370,0;66,0;49,0;23,0;28,0;0,0;;2,1339712918660285;;0,1444866920152091;0,9;0,7;1909,0
Galjoenbuurt;Amstelveen;Buurt;3621005;1186;1485;2,2;6188,0;405,0;75,0;60,0;31,0;9,0;0,0;;2,196;;0,15824915824915825;1,0;1,1;1688,0
Bovenkerk;Amstelveen;Buurt;3621101;1187;1265;2,4;3972,0;460,0;66,0;53,0;40,0;7,0;60,0;;2,25;;0,308300395256917;1,1;0,5;1406,0
Buitenplaatsenbuurt;Amstelveen;Buurt;3621102;1187;645;2,1;4605,0;382,0;49,0;44,0;39,0;18,0;0,0;;2,1683168316831685;;0,20155038759689922;1,1;0,7;1661,0
Betsy Perkbuurt;Amstelveen;Buurt;3621103;1187;805;2,2;8296,0;372,0;50,0;44,0;10,0;46,0;0,0;;2,0;;0,13043478260869565;0,9;0,6;1934,0
Legmeer;Amstelveen;Buurt;3621104;1185;145;1,3;449,0;176,0;1,0;5,0;0,0;95,0;0,0;;;;1,2413793103448276;1,9;1,4;2034,0
Landschappenbuurt;Amstelveen;Buurt;3621105;1187;945;2,1;6871,0;400,0;55,0;46,0;27,0;27,0;0,0;;2,315068493150685;;0,12698412698412698;0,9;0,5;1770,0
Theaterbuurt;Amstelveen;Buurt;3621106;1187;1020;2,3;6705,0;426,0;74,0;39,0;26,0;34,0;2,0;;2,1551724137931036;;0,22058823529411764;1,0;0,4;1917,0
Kastelenbuurt;Amstelveen;Buurt;3621201;1187;1050;2,9;7059,0;527,0;69,0;65,0;27,0;8,0;97,0;;2,29064039408867;;0,22380952380952382;1,1;0,5;1501,0
Schrijversbuurt;Amstelveen;Buurt;3621202;1187;735;2,8;6864,0;487,0;93,0;81,0;8,0;11,0;11,0;;2,2058823529411766;;0,19047619047619047;1,2;0,9;1479,0
Kruidenbuurt;Amstelveen;Buurt;3621203;1187;935;2,6;5824,0;521,0;66,0;72,0;18,0;9,0;98,0;;2,281767955801105;;0,24064171122994651;1,1;1,4;1064,0
De Scheg;Amstelveen;Buurt;3621204;1187;15;2,4;79,0;793,0;100,0;82,0;0,0;18,0;32,0;;;;1,0;;1,2;1136,0
Nes aan de Amstel;Amstelveen;Buurt;3621301;1189;415;2,4;102,0;;95,0;46,0;16,0;38,0;9,0;;2,1466666666666665;;0,5060240963855421;1,7;4,3;569,0
Legmeerpolder;Amstelveen;Buurt;3621302;1187;95;2,3;50,0;490,0;94,0;69,0;3,0;28,0;8,0;;1,8823529411764706;;1,368421052631579;1,8;1,9;395,0
Amsterdamse Bos Noord;Amstelveen;Buurt;3621401;1182;35;2,7;24,0;754,0;94,0;66,0;0,0;34,0;6,0;;;;1,0;;0,9;1051,0
Amsterdamse Bos Zuid;Amstelveen;Buurt;3621402;1187;5;1,7;4,0;;;;;;;;;;0,0;;2,2;288,0
Kop Zeedijk;Amsterdam;Buurt;3630000;1012;755;1,4;18119,0;423,0;4,0;20,0;7,0;71,0;4,0;;2,5943396226415096;;0,6291390728476821;0,2;0,4;6770,0
Oude Kerk e.o.;Amsterdam;Buurt;3630001;1012;540;1,3;8272,0;431,0;5,0;12,0;27,0;59,0;13,0;;2,140625;;0,8888888888888888;0,2;0,5;7421,0
Burgwallen Oost;Amsterdam;Buurt;3630002;1012;1155;1,4;25867,0;462,0;4,0;17,0;9,0;74,0;4,0;;2,48993288590604;;0,5800865800865801;0,2;0,4;7544,0
Nes e.o.;Amsterdam;Buurt;3630003;1012;240;1,4;6565,0;617,0;9,0;29,0;5,0;65,0;2,0;;2,6363636363636362;;1,0416666666666667;0,3;0,8;9928,0
BG-terrein e.o.;Amsterdam;Buurt;3630004;1012;495;1,4;7960,0;537,0;7,0;21,0;36,0;42,0;0,0;;2,5873015873015874;;0,5252525252525253;0,2;0,7;8474,0
Stationsplein e.o.;Amsterdam;Buurt;3630100;1012;1;1,0;;;;;;;;;;;75,0;;;6494,0
Hemelrijk;Amsterdam;Buurt;3630101;1012;415;1,4;10423,0;441,0;3,0;28,0;3,0;67,0;1,0;;2,5576923076923075;;0,7469879518072289;0,3;0,6;8821,0
Nieuwendijk Noord;Amsterdam;Buurt;3630102;1012;330;1,4;8388,0;475,0;7,0;17,0;10,0;73,0;3,0;;2,380952380952381;;0,8181818181818182;0,3;0,8;7137,0
Spuistraat Noord;Amsterdam;Buurt;3630103;1012;575;1,4;16394,0;480,0;6,0;27,0;8,0;63,0;0,0;;2,506666666666667;;0,782608695652174;0,4;0,6;9791,0
Nieuwe Kerk e.o.;Amsterdam;Buurt;3630104;1012;560;1,5;9737,0;466,0;8,0;23,0;6,0;70,0;3,0;;2,506849315068493;;0,7678571428571429;0,2;1,0;9589,0
Spuistraat Zuid;Amsterdam;Buurt;3630105;1012;520;1,4;12101,0;475,0;3,0;16,0;23,0;60,0;7,0;;2,5970149253731343;;0,6826923076923077;0,2;0,8;10038,0
Begijnhofbuurt;Amsterdam;Buurt;3630106;1012;320;1,3;5891,0;488,0;6,0;11,0;1,0;85,0;0,0;;2,6923076923076925;;0,984375;0,2;1,0;9986,0
Kalverdriehoek;Amsterdam;Buurt;3630107;1012;215;1,4;5891,0;;4,0;24,0;6,0;70,0;2,0;;2,4827586206896552;;0,9302325581395349;0,2;0,9;9739,0
Langestraat e.o.;Amsterdam;Buurt;3630200;1015;1150;1,6;19258,0;814,0;9,0;50,0;7,0;39,0;1,0;;2,515923566878981;;0,6391304347826087;0,5;0,3;9660,0
Leliegracht e.o.;Amsterdam;Buurt;3630201;1015;1205;1,5;13409,0;825,0;7,0;40,0;17,0;41,0;0,0;;2,5123456790123457;;0,7510373443983402;0,5;0,4;10868,0
Felix Meritisbuurt;Amsterdam;Buurt;3630202;1016;1340;1,5;12771,0;782,0;8,0;42,0;8,0;48,0;1,0;;2,751412429378531;;0,9477611940298507;0,5;0,5;11544,0
Leidsegracht Noord;Amsterdam;Buurt;3630203;1016;440;1,6;12828,0;927,0;10,0;43,0;10,0;46,0;1,0;;1,5172413793103448;;0,8863636363636364;0,4;0,6;9851,0
Spiegelbuurt;Amsterdam;Buurt;3630300;1017;500;1,6;10310,0;829,0;10,0;42,0;7,0;48,0;1,0;;2,5428571428571427;;1,01;0,5;0,6;9349,0
Gouden Bocht;Amsterdam;Buurt;3630301;1017;90;1,6;3202,0;993,0;10,0;41,0;0,0;55,0;7,0;;2,0;;3,2777777777777777;1,0;0,5;9571,0
Van Loonbuurt;Amsterdam;Buurt;3630302;1017;860;1,6;10895,0;925,0;20,0;47,0;1,0;51,0;3,0;;2,6083333333333334;;0,7325581395348837;0,5;0,3;9136,0
Amstelveldbuurt;Amsterdam;Buurt;3630303;1017;905;1,7;13653,0;826,0;14,0;45,0;7,0;47,0;1,0;;2,6307692307692307;;0,6353591160220995;0,6;0,5;9090,0
Rembrandtpleinbuurt;Amsterdam;Buurt;3630304;1017;340;1,4;8403,0;593,0;4,0;26,0;8,0;64,0;0,0;;2,688888888888889;;0,6764705882352942;0,3;0,7;8779,0
Reguliersbuurt;Amsterdam;Buurt;3630305;1017;260;1,5;9609,0;524,0;6,0;13,0;0,0;85,0;6,0;;;;1,2115384615384615;0,2;0,7;9607,0
Leidsegracht Zuid;Amsterdam;Buurt;3630306;1017;410;1,6;12130,0;827,0;16,0;33,0;2,0;62,0;0,0;;2,672727272727273;;1,0365853658536586;0,5;0,8;9828,0
Oosterdokseiland;Amsterdam;Buurt;3630400;1011;275;1,7;3834,0;654,0;0,0;46,0;33,0;19,0;96,0;;2,575;;0,6909090909090909;;0,8;5143,0
Scheepvaarthuisbuurt;Amsterdam;Buurt;3630401;1011;465;1,6;13793,0;653,0;4,0;36,0;4,0;59,0;2,0;;2,6031746031746033;;0,41935483870967744;0,3;0,5;6340,0
Rapenburg;Amsterdam;Buurt;3630402;1011;640;1,6;10984,0;;3,0;25,0;36,0;39,0;4,0;;2,5057471264367814;;0,390625;0,3;0,4;6027,0
Lastage;Amsterdam;Buurt;3630403;1011;710;1,5;20647,0;479,0;6,0;35,0;23,0;41,0;2,0;;2,7157894736842105;;0,44366197183098594;0,3;0,2;6621,0
Nieuwmarkt;Amsterdam;Buurt;3630404;1011;1040;1,5;27008,0;435,0;5,0;17,0;69,0;15,0;0,0;;2,371212121212121;;0,34134615384615385;0,3;0,3;7318,0
Uilenburg;Amsterdam;Buurt;3630405;1011;825;1,5;15227,0;488,0;0,0;36,0;36,0;28,0;28,0;;2,537037037037037;;0,3393939393939394;0,3;0,3;6595,0
Valkenburg;Amsterdam;Buurt;3630406;1011;805;1,5;17691,0;471,0;0,0;43,0;23,0;33,0;0,0;;2,6315789473684212;;0,32919254658385094;0,3;0,2;6972,0
Zuiderkerkbuurt;Amsterdam;Buurt;3630407;1011;1035;1,4;22021,0;518,0;5,0;22,0;51,0;27,0;0,0;;2,4586466165413534;;0,4057971014492754;0,3;0,5;8308,0
Waterloopleinbuurt;Amsterdam;Buurt;3630408;1011;595;1,4;7703,0;466,0;2,0;28,0;39,0;33,0;4,0;;2,493333333333333;;0,453781512605042;0,3;0,4;8038,0
Westerdokseiland;Amsterdam;Buurt;3630500;1013;995;1,9;11665,0;690,0;0,0;43,0;28,0;29,0;100,0;;2,4285714285714284;;0,47738693467336685;;0,9;6466,0
Haarlemmerbuurt Oost;Amsterdam;Buurt;3630501;1013;990;1,5;15953,0;518,0;5,0;25,0;33,0;43,0;1,0;;2,5419847328244276;;0,48484848484848486;0,3;0,4;8261,0
Haarlemmerbuurt West;Amsterdam;Buurt;3630502;1013;1500;1,6;22537,0;484,0;2,0;25,0;43,0;31,0;6,0;;2,2864077669902914;;0,4266666666666667;0,3;0,6;9494,0
Westelijke eilanden;Amsterdam;Buurt;3630503;1013;1805;1,6;19180,0;517,0;3,0;34,0;45,0;21,0;14,0;;2,546938775510204;;0,4182825484764543;0,4;0,3;7523,0
Planciusbuurt Noord;Amsterdam;Buurt;3630505;1013;255;1,4;19296,0;331,0;1,0;10,0;51,0;40,0;0,0;;2,5806451612903225;;0,2549019607843137;0,2;0,5;8528,0
Planciusbuurt Zuid;Amsterdam;Buurt;3630506;1013;120;1,4;12941,0;329,0;0,0;1,0;86,0;13,0;0,0;;2,4;;0,375;0,3;0,5;8796,0
Driehoekbuurt;Amsterdam;Buurt;3630600;1015;1855;1,5;27785,0;427,0;4,0;27,0;39,0;33,0;2,0;;2,6176470588235294;;0,3288409703504043;0,3;0,6;10629,0
Bloemgrachtbuurt;Amsterdam;Buurt;3630602;1016;1855;1,6;25913,0;529,0;7,0;33,0;24,0;42,0;5,0;;2,629032258064516;;0,3908355795148248;0,3;0,4;11881,0
Marnixbuurt Noord;Amsterdam;Buurt;3630603;1015;920;1,6;25839,0;389,0;0,0;16,0;52,0;31,0;0,0;;2,4634146341463414;;0,266304347826087;0,3;0,6;10770,0
Zaagpoortbuurt;Amsterdam;Buurt;3630604;1015;750;1,3;27438,0;302,0;0,0;15,0;35,0;49,0;0,0;;2,4269662921348316;;0,21333333333333335;0,2;0,3;12284,0
Marnixbuurt Midden;Amsterdam;Buurt;3630605;1016;120;1,6;12632,0;502,0;1,0;44,0;1,0;55,0;0,0;;2,5789473684210527;;0,5;0,3;0,2;11922,0
Elandsgrachtbuurt;Amsterdam;Buurt;3630606;1016;2885;1,5;22934,0;477,0;3,0;25,0;18,0;56,0;4,0;;2,5876010781671157;;0,4072790294627383;0,3;0,3;11639,0
Passeerdersgrachtbuurt;Amsterdam;Buurt;3630607;1016;605;1,4;18887,0;579,0;3,0;37,0;24,0;37,0;3,0;;2,6623376623376624;;0,3884297520661157;0,3;0,5;10145,0
Groenmarktkadebuurt;Amsterdam;Buurt;3630608;1016;170;1,4;6824,0;453,0;0,0;32,0;0,0;68,0;0,0;;2,4583333333333335;;0,3235294117647059;0,2;0,4;11906,0
Marnixbuurt Zuid;Amsterdam;Buurt;3630609;1016;510;1,3;16427,0;423,0;0,0;15,0;33,0;51,0;30,0;;2,7291666666666665;;0,20588235294117646;0,2;0,4;11178,0
Anjeliersbuurt Noord;Amsterdam;Buurt;3630610;1015;1315;1,6;22014,0;514,0;7,0;30,0;32,0;39,0;3,0;;2,430167597765363;;0,4144486692015209;0,4;0,4;10897,0
