Peildatum,Netbeheerder,Provincie,Gemeente,CBS_Buurt,CBS_Buurtcode,Aantal_aansluitingen_in_CBS-buurt,Aantal_aansluitingen_met_opwekinstallatie,Opgesteld_vermogen,WijkenEnBuurten,Gemeentenaam_1,SoortRegio_2,MeestVoorkomendePostcode_113,HuishoudensTotaal_28,GemiddeldeHuishoudensgrootte_32,Bevolkingsdichtheid_33,GemiddeldeWoningwaarde_35,PercentageEengezinswoning_36,Koopwoningen_40,InBezitWoningcorporatie_42,InBezitOverigeVerhuurders_43,BouwjaarVanaf2000_46,GemiddeldElektriciteitsverbruikTotaal_47,GemiddeldAardgasverbruikTotaal_55,Gemiddeld_opleidingsniveau,Percent_inkomensontvangers,Bedrijfsvestigingen_per_huishuidens,PersonenautoSPerHuishouden_102,AfstandTotSchool_108,Omgevingsadressendichtheid_116
202007.0,Enexis,Drenthe,Assen,Bomenbuurt,1060011.0,301.0,45.0,186.0,Bomenbuurt,Assen,Buurt,9401,290,1.8,3205.0,248.0,55.0,53.0,29.0,18.0,29.0,2480.0,1810.0,2.41025641025641,0.9345794392523364,0.1379310344827586,0.9,1.0,1683.0
202007.0,Enexis,Drenthe,Assen,Zuiderpark,1060012.0,139.0,36.0,166.0,Zuiderpark,Assen,Buurt,9401,110,2.1,758.0,364.0,57.0,51.0,0.0,49.0,49.0,2840.0,1780.0,2.1153846153846154,0.6896551724137931,0.1818181818181818,2.4,1.9,488.0
202007.0,Enexis,Drenthe,Assen,De Lariks Oost,1060100.0,742.0,48.0,174.0,De Lariks Oost,Assen,Buurt,9406,795,1.5,5131.0,128.0,43.0,34.0,63.0,3.0,7.0,1910.0,1090.0,2.0114942528735638,0.8239700374531835,0.0628930817610062,0.6,0.3,2478.0
202007.0,Enexis,Drenthe,Assen,Landgoed Lariks,1060101.0,490.0,34.0,138.0,Landgoed Lariks,Assen,Buurt,9406,425,1.7,2398.0,188.0,40.0,67.0,23.0,10.0,19.0,2560.0,1250.0,2.0943396226415096,0.875,0.0823529411764705,0.8,0.8,1933.0
202007.0,Enexis,Drenthe,Assen,De Lariks West,1060102.0,808.0,112.0,386.0,De Lariks West,Assen,Buurt,9406,795,1.8,5040.0,128.0,63.0,58.0,24.0,18.0,5.0,2190.0,1170.0,1.8157894736842104,0.8247422680412371,0.0817610062893081,0.8,1.2,1444.0
202007.0,Enexis,Drenthe,Assen,Luchiesland Zuid,1060103.0,517.0,128.0,316.0,Luchiesland Zuid,Assen,Buurt,9406,390,1.8,3728.0,110.0,62.0,41.0,46.0,12.0,0.0,2030.0,1040.0,1.7636363636363637,0.8571428571428571,0.0769230769230769,0.7,0.8,2236.0
202007.0,Enexis,Drenthe,Assen,Zuid Molukse Buurt,1060104.0,229.0,194.0,364.0,Zuid Molukse Buurt,Assen,Buurt,9406,235,2.0,4906.0,125.0,93.0,7.0,92.0,0.0,0.0,2330.0,1340.0,1.75,0.851063829787234,0.0425531914893617,0.7,0.8,1994.0
202007.0,Enexis,Drenthe,Assen,Luchiesland Noord,1060105.0,418.0,15.0,54.0,Luchiesland Noord,Assen,Buurt,9406,405,1.8,5085.0,105.0,58.0,20.0,78.0,2.0,0.0,1860.0,1140.0,1.8035714285714288,0.8275862068965517,0.0493827160493827,0.7,0.7,2130.0
202007.0,Enexis,Drenthe,Assen,Oude Molenbuurt,1060200.0,1163.0,249.0,728.0,Oude Molenbuurt,Assen,Buurt,9402,990,1.6,4875.0,129.0,32.0,36.0,59.0,5.0,15.0,2010.0,1030.0,1.7983870967741935,0.8588957055214724,0.0808080808080808,0.7,0.3,2771.0
202007.0,Enexis,Drenthe,Assen,Dichtershof,1060201.0,397.0,14.0,44.0,Dichtershof,Assen,Buurt,9402,380,1.8,3760.0,184.0,45.0,38.0,60.0,3.0,74.0,2090.0,940.0,1.8780487804878048,0.8823529411764706,0.0526315789473684,0.8,0.7,2154.0
202007.0,Enexis,Drenthe,Assen,Veningerland,1060202.0,856.0,190.0,534.0,Veningerland,Assen,Buurt,9402,970,1.8,4960.0,140.0,66.0,49.0,42.0,9.0,12.0,2160.0,1280.0,1.8976377952755905,0.8356545961002786,0.056701030927835,0.8,0.3,2581.0
202007.0,Enexis,Drenthe,Assen,Zwarte Water,1060203.0,658.0,167.0,428.0,Zwarte Water,Assen,Buurt,9402,630,2.0,4462.0,137.0,60.0,43.0,51.0,7.0,13.0,2190.0,1100.0,1.5376344086021505,0.8064516129032258,0.0793650793650793,0.8,0.5,2343.0
